"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14185","QB","Cam","Newton","24.4","15","9100","TB@CAR","CAR","TB","","","",""
"30447","RB","Todd","Gurley","15.2","13","8600","STL@SF","STL","SF","NA","Foot","",""
"6748","QB","Carson","Palmer","20.8","15","8300","SEA@ARI","ARI","SEA","P","Finger","",""
"22015","QB","Russell","Wilson","21.5","15","8200","SEA@ARI","SEA","ARI","","","",""
"32384","WR","Mike","Evans","11.5","14","8000","TB@CAR","TB","CAR","","","",""
"11432","WR","Demaryius","Thomas","13","15","7700","SD@DEN","DEN","SD","P","Hamstring","",""
"62497","RB","David","Johnson","12.7","15","7700","SEA@ARI","ARI","SEA","","","",""
"21970","RB","Doug","Martin","13.4","15","7600","TB@CAR","TB","CAR","","","",""
"11505","WR","Emmanuel","Sanders","12.6","14","7500","SD@DEN","DEN","SD","P","Ankle","",""
"9371","RB","Marshawn","Lynch","10.9","7","7500","SEA@ARI","SEA","ARI","NA","Abdomen","",""
"6883","WR","Larry","Fitzgerald","14.1","15","7400","SEA@ARI","ARI","SEA","P","Ankle","",""
"14626","WR","Doug","Baldwin","14.9","15","7400","SEA@ARI","SEA","ARI","","","",""
"7968","QB","Philip","Rivers","18.5","15","7300","SD@DEN","SD","DEN","","","",""
"45859","QB","Derek","Carr","18","15","7100","OAK@KC","OAK","KC","","","",""
"7283","WR","Jeremy","Maclin","13.2","14","7100","OAK@KC","KC","OAK","","","",""
"8005","QB","Alex","Smith","17.1","15","7000","OAK@KC","KC","OAK","","","",""
"24849","QB","Jameis","Winston","18","15","7000","TB@CAR","TB","CAR","","","",""
"21994","QB","Brock","Osweiler","16.2","7","6900","SD@DEN","DEN","SD","P","Elbow","",""
"31001","WR","Amari","Cooper","11.6","15","6900","OAK@KC","OAK","KC","P","Foot","",""
"54687","RB","Charcandrick","West","8.5","14","6800","OAK@KC","KC","OAK","","","",""
"6627","WR","Ted","Ginn Jr.","10.8","15","6600","TB@CAR","CAR","TB","NA","Knee","",""
"6914","TE","Greg","Olsen","12.4","15","6600","TB@CAR","CAR","TB","","","",""
"9392","WR","Michael","Crabtree","11.9","15","6600","OAK@KC","OAK","KC","","","",""
"21952","WR","Michael","Floyd","10.3","14","6500","SEA@ARI","ARI","SEA","P","Knee","",""
"6661","QB","Peyton","Manning","11.8","9","6500","SD@DEN","DEN","SD","P","Foot","",""
"54606","WR","John","Brown","12","14","6500","SEA@ARI","ARI","SEA","","","",""
"6733","RB","Jonathan","Stewart","11.9","13","6500","TB@CAR","CAR","TB","NA","Foot","",""
"26458","WR","Tavon","Austin","10.9","15","6400","STL@SF","STL","SF","","","",""
"33076","TE","Travis","Kelce","10.1","15","6200","OAK@KC","KC","OAK","P","Groin","",""
"34331","RB","Latavius","Murray","11.8","15","6100","OAK@KC","OAK","KC","","","",""
"14645","WR","Dontrelle","Inman","6","13","6100","SD@DEN","SD","DEN","","","",""
"22003","RB","Ronnie","Hillman","8.6","15","6000","SD@DEN","DEN","SD","","","",""
"14194","QB","Blaine","Gabbert","17","7","6000","STL@SF","SF","STL","","","",""
"7965","TE","Antonio","Gates","11","10","6000","SD@DEN","SD","DEN","","","",""
"22994","QB","Case","Keenum","7","5","6000","STL@SF","STL","SF","","","",""
"22219","WR","Jermaine","Kearse","7.5","15","5900","SEA@ARI","SEA","ARI","","","",""
"22027","QB","Nick","Foles","9.5","11","5900","STL@SF","STL","SF","","","",""
"27050","WR","Tyler","Lockett","9","15","5900","SEA@ARI","SEA","ARI","","","",""
"7953","WR","Vincent","Jackson","9.1","10","5800","TB@CAR","TB","CAR","IR","Knee","",""
"6479","WR","Anquan","Boldin","9.2","13","5800","STL@SF","SF","STL","","","",""
"9421","RB","Danny","Woodhead","12.9","15","5700","SD@DEN","SD","DEN","","","",""
"7645","WR","Steve","Johnson","9","10","5600","SD@DEN","SD","DEN","NA","Groin","",""
"16923","TE","Austin","Seferian-Jenkins","10.3","6","5600","TB@CAR","TB","CAR","","","",""
"38269","RB","Cameron","Artis-Payne","3.3","6","5500","TB@CAR","CAR","TB","","","",""
"15006","RB","Shaun","Draughn","5.9","11","5500","STL@SF","SF","STL","IR","Knee","",""
"29249","RB","C.J.","Anderson","8.2","14","5500","SD@DEN","DEN","SD","P","Back","",""
"14288","WR","Torrey","Smith","6.7","15","5500","STL@SF","SF","STL","P","Back","",""
"7952","WR","Malcom","Floyd","6.2","14","5500","SD@DEN","SD","DEN","","","",""
"28677","QB","Matt","McGloin","5.3","2","5500","OAK@KC","OAK","KC","","","",""
"6535","WR","Kenny","Britt","6.3","15","5400","STL@SF","STL","SF","","","",""
"28486","WR","Corey (Philly)","Brown","6.2","13","5400","TB@CAR","CAR","TB","","","",""
"54741","WR","Seth","Roberts","6.2","15","5300","OAK@KC","OAK","KC","","","",""
"24682","RB","Andre","Ellington","7.3","9","5300","SEA@ARI","ARI","SEA","P","Toe","",""
"28080","WR","Devin","Funchess","4.8","15","5300","TB@CAR","CAR","TB","","","",""
"6688","WR","Jerricho","Cotchery","5.8","13","5300","TB@CAR","CAR","TB","","","",""
"31459","RB","Spencer","Ware","6.6","10","5300","OAK@KC","KC","OAK","P","Ribs","",""
"34154","WR","Jamarcus","Nelson","4.5","10","5200","SEA@ARI","ARI","SEA","","","",""
"31871","RB","Charles","Sims","9.4","15","5200","TB@CAR","TB","CAR","","","",""
"12550","D","Seattle","Seahawks","10.8","13","5200","SEA@ARI","SEA","ARI","","","",""
"12553","D","Carolina","Panthers","11.8","13","5200","TB@CAR","CAR","TB","","","",""
"12531","D","Denver","Broncos","12.5","13","5200","SD@DEN","DEN","SD","","","",""
"28900","RB","Melvin","Gordon","6.6","14","5100","SD@DEN","SD","DEN","IR","Knee","",""
"12536","D","Kansas City","Chiefs","10.2","13","5100","OAK@KC","KC","OAK","","","",""
"32418","RB","Christine","Michael","2.5","7","5100","SEA@ARI","SEA","ARI","","","",""
"8803","QB","Chase","Daniel","0","2","5000","OAK@KC","KC","OAK","","","",""
"6814","QB","Tarvaris","Jackson","-0.1","3","5000","SEA@ARI","SEA","ARI","","","",""
"7919","QB","Kellen","Clemens","3.2","2","5000","SD@DEN","SD","DEN","","","",""
"6870","TE","Vernon","Davis","4.2","14","5000","SD@DEN","DEN","SD","","","",""
"22165","RB","Bryce","Brown","2.6","2","5000","SEA@ARI","SEA","ARI","","","",""
"6373","QB","Derek","Anderson","0.7","2","5000","TB@CAR","CAR","TB","","","",""
"6682","TE","Owen","Daniels","6","15","5000","SD@DEN","DEN","SD","P","Knee","",""
"7744","QB","Drew","Stanton","-0.1","6","5000","SEA@ARI","ARI","SEA","","","",""
"25410","QB","Mike","Glennon","0","0","5000","TB@CAR","TB","CAR","","","",""
"11615","QB","Joe","Webb","0","15","5000","TB@CAR","CAR","TB","","","",""
"29445","QB","Sean","Mannion","1.2","1","5000","STL@SF","STL","SF","NA","","",""
"6724","K","Steven","Hauschka","8.7","15","5000","SEA@ARI","SEA","ARI","","","",""
"54782","TE","Cameron","Brate","4.4","13","4900","TB@CAR","TB","CAR","","","",""
"10744","K","Graham","Gano","10.3","15","4900","TB@CAR","CAR","TB","","","",""
"14761","WR","Andre","Holmes","3.4","15","4900","OAK@KC","OAK","KC","","","",""
"7857","WR","Wes","Welker","2","7","4900","STL@SF","STL","SF","","","",""
"6660","RB","Donald","Brown","3.5","9","4900","SD@DEN","SD","DEN","","","",""
"24569","K","Chandler","Catanzaro","9.5","15","4900","SEA@ARI","ARI","SEA","","","",""
"39512","RB","Kendall","Gaskins","1.8","8","4900","STL@SF","SF","STL","","","",""
"7660","RB","Fred","Jackson","4","15","4800","SEA@ARI","SEA","ARI","","","",""
"25775","TE","Clive","Walford","3.9","15","4800","OAK@KC","OAK","KC","","","",""
"32000","TE","Luke","Willson","2.6","14","4800","SEA@ARI","SEA","ARI","NA","Concussion","",""
"37245","RB","Foswhitt","Whittaker","1.9","15","4800","TB@CAR","CAR","TB","NA","Ankle","",""
"48344","WR","Albert","Wilson","5.6","13","4800","OAK@KC","KC","OAK","P","Lower leg","",""
"39455","RB","Kerwynn","Williams","4.2","5","4800","SEA@ARI","ARI","SEA","","","",""
"33714","K","Cairo","Santos","9.5","15","4800","OAK@KC","KC","OAK","","","",""
"14240","TE","Lance","Kendricks","3.1","14","4800","STL@SF","STL","SF","","","",""
"6702","K","Phil","Dawson","6.1","15","4800","STL@SF","SF","STL","","","",""
"22047","TE","Ladarius","Green","6.9","13","4800","SD@DEN","SD","DEN","IR","Ankle","",""
"38301","TE","Darren","Fells","4.5","13","4800","SEA@ARI","ARI","SEA","","","",""
"26247","K","Brandon","McManus","8.7","15","4700","SD@DEN","DEN","SD","","","",""
"30403","WR","Chris","Conley","2.1","15","4700","OAK@KC","KC","OAK","","","",""
"27771","WR","Cody","Latimer","1.2","13","4700","SD@DEN","DEN","SD","","","",""
"12546","D","Arizona","Cardinals","9.3","13","4700","SEA@ARI","ARI","SEA","","","",""
"7761","TE","Jared","Cook","4.5","15","4700","STL@SF","STL","SF","","","",""
"10354","RB","Marcel","Reece","4.2","15","4700","OAK@KC","OAK","KC","O","Suspension","",""
"6427","K","Connor","Barth","9","11","4700","TB@CAR","TB","CAR","","","",""
"32045","TE","Vance","McDonald","4.6","13","4600","STL@SF","SF","STL","","","",""
"24797","RB","Juwan","Thompson","0.9","14","4600","SD@DEN","DEN","SD","","","",""
"30807","TE","Mychal","Rivera","3.2","15","4600","OAK@KC","OAK","KC","","","",""
"22800","RB","Derrick","Coleman","0.3","13","4600","SEA@ARI","SEA","ARI","","","",""
"31261","RB","Tre","Mason","2.7","12","4600","STL@SF","STL","SF","","","",""
"12538","D","St Louis","Rams","8.4","14","4600","STL@SF","STL","SF","","","",""
"7975","RB","Mike","Tolbert","4.5","15","4600","TB@CAR","CAR","TB","","","",""
"28157","WR","Bennie","Fowler","1.8","15","4600","SD@DEN","DEN","SD","","","",""
"31073","RB","Knile","Davis","1.3","13","4500","OAK@KC","KC","OAK","","","",""
"31093","WR","Javontee","Herndon","3.7","7","4500","SD@DEN","SD","DEN","P","Chest","",""
"23046","RB","Jamize","Olawale","2.2","13","4500","OAK@KC","OAK","KC","","","",""
"14837","WR","Jeremy","Ross","0.8","10","4500","OAK@KC","OAK","KC","","","",""
"22235","RB","Jeremy","Stewart","0","0","4500","SD@DEN","DEN","SD","","","",""
"21972","WR","Brian","Quick","1","12","4500","STL@SF","STL","SF","","","",""
"26498","WR","Stedman","Bailey","3.8","8","4500","STL@SF","STL","SF","O","Head","",""
"31329","WR","Russell","Shepard","0.9","12","4500","TB@CAR","TB","CAR","","","",""
"11431","TE","Jermaine","Gresham","2.3","14","4500","SEA@ARI","ARI","SEA","","","",""
"7831","K","Sebastian","Janikowski","7.3","15","4500","OAK@KC","OAK","KC","","","",""
"6388","WR","Jason","Avant","1.1","15","4500","OAK@KC","KC","OAK","","","",""
"30667","TE","Justice","Cunningham","0","2","4500","STL@SF","STL","SF","","","",""
"30709","WR","Bruce","Ellington","1.3","12","4500","STL@SF","SF","STL","","","",""
"22849","TE","Cory","Harkey","0.2","15","4500","STL@SF","STL","SF","","","",""
"22177","WR","Junior","Hemingway","0","0","4500","OAK@KC","KC","OAK","","","",""
"27403","TE","Blake","Bell","1.9","13","4500","STL@SF","SF","STL","","","",""
"29351","WR","De'Anthony","Thomas","3.6","10","4500","OAK@KC","KC","OAK","O","Not injury related","",""
"62680","WR","Donteea","Dye","2.2","9","4500","TB@CAR","TB","CAR","","","",""
"39649","RB","Benny","Cunningham","2.9","15","4500","STL@SF","STL","SF","","","",""
"11488","TE","Ed","Dickson","2.5","15","4500","TB@CAR","CAR","TB","","","",""
"32632","WR","Bradley","Marquez","1","15","4500","STL@SF","STL","SF","","","",""
"30012","WR","Kevin","Smith","0.6","6","4500","SEA@ARI","SEA","ARI","","","",""
"22958","RB","Bobby","Rainey","0.3","15","4500","TB@CAR","TB","CAR","","","",""
"62508","TE","James","O'Shaughnessy","1.7","7","4500","OAK@KC","KC","OAK","IR","Foot","",""
"22109","K","Greg","Zuerlein","6.6","13","4500","STL@SF","STL","SF","","","",""
"24671","WR","Adam","Humphries","3.8","12","4500","TB@CAR","TB","CAR","","","",""
"39427","WR","Quinton","Patton","3.8","15","4500","STL@SF","SF","STL","","","",""
"30249","WR","Frankie","Hammond","-0.2","8","4500","OAK@KC","KC","OAK","","","",""
"6951","TE","James","Casey","0","3","4500","SD@DEN","DEN","SD","","","",""
"14406","RB","Bruce","Miller","1.6","15","4500","STL@SF","SF","STL","P","Foot","",""
