lookupVariable,lookupValue,newVariable,newValue,source
Name,Arizona Defense,Name,ARI Defense,brett.qa
Name,Atlanta Defense,Name,ATL Defense,brett.qa
Name,Baltimore Defense,Name,BAL Defense,brett.qa
Name,Buffalo Defense,Name,BUF Defense,brett.qa
Name,Carolina Defense,Name,CAR Defense,brett.qa
Name,Chicago Defense,Name,CHI Defense,brett.qa
Name,Cincinnati Defense,Name,CIN Defense,brett.qa
Name,Cleveland Defense,Name,CLE Defense,brett.qa
Name,Dallas Defense,Name,DAL Defense,brett.qa
Name,Denver Defense,Name,DEN Defense,brett.qa
Name,Detroit Defense,Name,DET Defense,brett.qa
Name,Green Bay Defense,Name,GNB Defense,brett.qa
Name,Houston Defense,Name,HOU Defense,brett.qa
Name,Indianapolis Defense,Name,IND Defense,brett.qa
Name,Jacksonville Defense,Name,JAX Defense,brett.qa
Name,Kansas City Defense,Name,KAN Defense,brett.qa
Name,Miami Defense,Name,MIA Defense,brett.qa
Name,Minnesota Defense,Name,MIN Defense,brett.qa
Name,New England Defense,Name,NWE Defense,brett.qa
Name,New Orleans Defense,Name,NOR Defense,brett.qa
Name,New York G Defense,Name,NYG Defense,brett.qa
Name,New York J Defense,Name,NYJ Defense,brett.qa
Name,Oakland Defense,Name,OAK Defense,brett.qa
Name,Philadelphia Defense,Name,PHI Defense,brett.qa
Name,Pittsburgh Defense,Name,PIT Defense,brett.qa
Name,San Diego Defense,Name,SDG Defense,brett.qa
Name,San Francisco Defense,Name,SFO Defense,brett.qa
Name,Seattle Defense,Name,SEA Defense,brett.qa
Name,St. Louis Defense,Name,STL Defense,brett.qa
Name,Tampa Bay Defense,Name,TAM Defense,brett.qa
Name,Tennessee Defense,Name,TEN Defense,brett.qa
Name,Washington Defense,Name,WAS Defense,brett.qa
Name,Odell Beckham,Name,Odell Beckham Jr.,brett.qa
Name,Odell Beckham Jr.,Name,Odell Beckham Jr.,brett.qa
Name,Taiwan Jones,Name,Taiwan Jones,brett.qa
Name,Ted Ginn,Name,Ted Ginn Jr.,brett.qa
Name,Ted Ginn Jr.,Name,Ted Ginn Jr.,brett.qa
Name,EJ Manuel,Name,E.J. Manuel,brett.qa
Name,E.J. Manuel,Name,E.J. Manuel,brett.qa
Name,JJ Nelson,Name,J.J. Nelson,brett.qa
Name,J.J. Nelson,Name,J.J. Nelson,brett.qa
Name,MarQueis Gray,Name,Marqueis Gray,brett.qa
Name,Marqueis Gray,Name,Marqueis Gray,brett.qa
Pos,QB,Pos,QB,brett.qa
Pos,RB,Pos,RB,brett.qa
Pos,WR,Pos,WR,brett.qa
Pos,TE,Pos,TE,brett.qa
Pos,PK,Pos,K,brett.qa
Pos,Def,Pos,DEF,brett.qa
Pos,KR,Pos,WR,brett.qa
Pos,FB,Pos,RB,brett.qa
Pos,CB,Pos,RB,brett.qa
