"","name","position","team","pos.avg","pos.sal.avg","pts.per.sal.avg","plyr.avg","plyr.sal.avg","plyr.pts.sd","plyr.sal.sd","pts.per.sal.sd","tier"
"1","Spencer Ware","RB","KAN",5.78787878787879,5535.35353535354,0.00396163236832926,20.8,5400,1.91975079552515,1007.37717594496,0.00119766673506867,"primary"
"2","Austin Seferian-Jenkins","TE","TAM",3.89868421052632,4869.73684210526,0.00314609929078014,14.7,4600,14.8417342637586,129.066461131511,0.00322360453153697,"primary"
"3","Matt Hasselbeck","QB","IND",14.9878048780488,6904.87804878049,0.0029133504333751,16.805,5800,2.30990059262477,771.271989090494,0.000359601655732157,"primary"
"4","Blaine Gabbert","QB","SFO",14.9878048780488,6904.87804878049,0.00289024691358025,16.7266666666667,5800,0.8743481170303,447.268529758761,0.000159277489625551,"primary"
"5","Cam Newton","QB","CAR",14.9878048780488,6904.87804878049,0.00279913345164507,22.7581818181818,8181.81818181818,6.60771125120195,417.493142956277,0.000924259170162919,"primary"
"6","Devonta Freeman","RB","ATL",6.67294117647059,5560,0.00278542338122101,20.84,7790,12.2023402376491,1167.12703087888,0.00183211959174274,"primary"
"7","Tyrod Taylor","QB","BUF",14.9878048780488,6904.87804878049,0.00277842867315422,18.9222222222222,6922.22222222222,6.50563583804404,923.042183295522,0.00107037228673332,"primary"
"8","Blake Bortles","QB","JAC",14.9878048780488,6904.87804878049,0.00275840361152029,19.4163636363636,7081.81818181818,5.18376044518875,602.991626352177,0.000843351500513455,"primary"
"9","Derek Carr","QB","OAK",14.9878048780488,6904.87804878049,0.00275832702342887,18.8727272727273,6890.90909090909,8.23339194747228,581.374703314481,0.00132276327843394,"primary"
"10","Andy Dalton","QB","CIN",14.9878048780488,6904.87804878049,0.00272922478735614,20.5309090909091,7618.18181818182,5.88063634867368,525.734272726486,0.000910829762376503,"primary"
"11","Jameis Winston","QB","TAM",14.9878048780488,6904.87804878049,0.0027041191151964,18.0527272727273,6681.81818181818,4.27583833238151,297.197521085402,0.000659349845482711,"primary"
"12","Tom Brady","QB","NWE",14.9878048780488,6904.87804878049,0.00269033394001211,23.8909090909091,8927.27272727273,5.24625876280627,423.147938846584,0.000619396834909106,"primary"
"13","Carson Palmer","QB","ARI",14.9878048780488,6904.87804878049,0.00267680422305515,21.5072727272727,8045.45454545455,4.67418001135916,271.203527798413,0.000555721040730539,"primary"
"14","Alex Smith","QB","KAN",14.9878048780488,6904.87804878049,0.00263617117802559,17.3218181818182,6590.90909090909,6.11377265460108,258.280953696503,0.000858382437027201,"primary"
"15","Josh McCown","QB","CLE",14.9878048780488,6904.87804878049,0.00261321096322921,17.02,6525,9.7846836162628,316.34628741202,0.00151977601204727,"primary"
"16","Kirk Cousins","QB","WAS",14.9878048780488,6904.87804878049,0.0026118224510176,16.5163636363636,6327.27272727273,8.56644024818683,431.688710308597,0.00124721019080325,"primary"
"17","Philip Rivers","QB","SDG",14.9878048780488,6904.87804878049,0.00260088485938512,20.58,7981.81818181818,7.60225207044695,421.409215681851,0.000993466935589393,"primary"
"18","Martavis Bryant","WR","PIT",7.19852941176471,5558.08823529412,0.00258937303426577,16.9333333333333,6716.66666666667,8.78120093108193,375.375204964415,0.00146793773480458,"primary"
"19","DEN Defense","DEF","DEN",6.1875,4521.875,0.00255616188204089,11.9090909090909,4800,6.69607457277398,343.179991354508,0.00155906040358917,"primary"
"20","Ryan Fitzpatrick","QB","NYJ",14.9878048780488,6904.87804878049,0.00253369277873261,17.8854545454545,7081.81818181818,6.38239988496853,353.667506832406,0.000946818985986407,"primary"
"21","Matthew Stafford","QB","DET",14.9878048780488,6904.87804878049,0.00253004036855025,18.26,7254.54545454545,8.82664062981339,287.567185803633,0.00133375410919183,"primary"
"22","Marcus Mariota","QB","TEN",14.9878048780488,6904.87804878049,0.00250008217040759,17.94,7211.11111111111,8.4101380849476,205.017454958034,0.00119737805643791,"primary"
"23","Brian Hoyer","QB","HOU",14.9878048780488,6904.87804878049,0.00246949404978659,16.545,6712.5,5.37416883245364,339.97031298652,0.000935047768803781,"primary"
"24","CAR Defense","DEF","CAR",6.1875,4521.875,0.00245092609524142,11.6363636363636,4718.18181818182,6.71889519146262,148.822331131608,0.00139159930462235,"primary"
"25","Eli Manning","QB","NYG",14.9878048780488,6904.87804878049,0.00242922876119837,18.6854545454545,7781.81818181818,9.35285264958272,225.438458685813,0.00126472413632297,"primary"
"26","Gary Barnidge","TE","CLE",4.705,4910,0.00240994237854251,13.2090909090909,5545.45454545455,6.82946671731608,795.401158801102,0.00132072207741675,"primary"
"27","Dion Lewis","RB","NWE",6.83670886075949,5597.46835443038,0.00239986714985788,14.6,6414.28571428571,6.46059302408791,1128.44924329996,0.00116883548373246,"primary"
