name,projection,position,salary,team
Sebastian Janikowski,8.48119842604,K,4500,OAK
Brandon McManus,9.19305041632,K,5000,DEN
Justin Tucker,12.0947471002,K,4700,BAL
Steven Hauschka,9.8440777844,K,5100,SEA
Shayne Graham,10.4031005687,K,4700,ATL
Graham Gano,9.95788606417,K,4900,CAR
Mason Crosby,9.74118882753,K,4700,GB
Dan Bailey,9.5302148492,K,4500,DAL
Ryan Succop,4.94292459561,K,4500,TEN
Randy Bullock,6.780096299,K,4700,NYJ
Stephen Gostkowski,10.7866172513,K,5000,NE
Nick Novak,5.47360938645,K,4500,HOU
Kai Forbath,5.53901360613,K,4600,NO
Connor Barth,9.35745145516,K,4600,TB
Chris Boswell,11.6860701151,K,4700,PIT
Mike Nugent,8.59315173705,K,4800,CIN
Josh Lambo,8.30287241294,K,4600,SD
Cairo Santos,8.51112289309,K,4700,KC
Dustin Hopkins,7.65793539562,K,4500,WAS
Robbie Gould,8.72219518807,K,4800,CHI
Greg Zuerlein,6.97632304003,K,4500,STL
Matt Prater,7.05329755312,K,4500,DET
Caleb Sturgis,7.97375450473,K,4600,PHI
Dan Carpenter,7.21282585328,K,4600,BUF
Adam Vinatieri,6.98670891381,K,4600,IND
Jason Myers,7.72849516316,K,4600,JAC
Josh Brown,10.7338915866,K,4800,NYG
Andrew Franks,5.0392266257,K,4500,MIA
Travis Coons,6.58406374895,K,4500,CLE
Phil Dawson,6.21310884567,K,4700,SF
Derek Carr,20.0985020959,QB,7200,OAK
Matt McGloin,5.90680625773,QB,5500,OAK
Brock Osweiler,13.4434092373,QB,6900,DEN
Jimmy Clausen,2.29198717584,QB,5000,BAL
Russell Wilson,21.3622484577,QB,8500,SEA
Tarvaris Jackson,1.52730224366,QB,5000,SEA
Matt Ryan,14.9930460939,QB,7100,ATL
Sean Renfree,3.09064776122,QB,5000,ATL
Cam Newton,22.9209395154,QB,9200,CAR
Derek Anderson,2.75390120082,QB,5000,CAR
Joe Webb,2.75582650134,QB,5000,CAR
Aaron Rodgers,21.4610571706,QB,8900,GB
Scott Tolzien,0.960421550208,QB,5000,GB
Matt Cassel,9.62425704636,QB,6200,DAL
Marcus Mariota,19.9182206143,QB,7500,TEN
Zach Mettenberger,4.53558858715,QB,6000,TEN
Ryan Fitzpatrick,19.0861759331,QB,7800,NYJ
Geno Smith,20.2979390443,QB,6000,NYJ
Bryce Petty,1.21180511039,QB,5000,NYJ
Tom Brady,24.5619303067,QB,9300,NE
Jimmy Garoppolo,0.772372556409,QB,5000,NE
Ryan Lindley,0.776774392343,QB,5000,NE
Brian Hoyer,15.875545304,QB,7000,HOU
T.J. Yates,9.77137546409,QB,6000,HOU
Brandon Weeden,9.31283617244,QB,5000,HOU
Drew Brees,20.1870275349,QB,7900,NO
Matt Flynn,0.707194715515,QB,5000,NO
Jameis Winston,19.5145414995,QB,7800,TB
Mike Glennon,0.856261533011,QB,5000,TB
Ben Roethlisberger,19.0693040284,QB,8300,PIT
Landry Jones,4.75851172578,QB,6000,PIT
Michael Vick,5.56023545143,QB,5000,PIT
Andy Dalton,20.9159463956,QB,8200,CIN
AJ McCarron,1.27844108104,QB,5000,CIN
Kellen Clemens,5.95194898893,QB,5200,SD
Alex Smith,18.0162526979,QB,6800,KC
Chase Daniel,1.44755297759,QB,5000,KC
Kirk Cousins,15.850716723,QB,7000,WAS
Robert Griffin III,2.46738194999,QB,5500,WAS
Colt McCoy,1.40205396289,QB,5000,WAS
Jay Cutler,16.1635602792,QB,6700,CHI
David Fales,0.685141939073,QB,5000,CHI
Case Keenum,6.95383084662,QB,5900,STL
Nick Foles,10.7302374189,QB,5900,STL
Sean Mannion,4.73688108022,QB,5000,STL
Matthew Stafford,19.6153741964,QB,7500,DET
Dan Orlovsky,5.44384403758,QB,5000,DET
Sam Bradford,14.879648182,QB,6300,PHI
Mark Sanchez,12.6715106533,QB,5800,PHI
Thaddeus Lewis,1.05658035658,QB,5000,PHI
Tyrod Taylor,20.3721192095,QB,7500,BUF
E.J. Manuel,5.69781195618,QB,5000,BUF
Josh Johnson,0.560726001989,QB,4800,BUF
Matt Hasselbeck,15.1569847684,QB,6600,IND
Charlie Whitehurst,2.31557584106,QB,5000,IND
Blake Bortles,21.9242285265,QB,7700,JAC
Chad Henne,0.521380436357,QB,5000,JAC
Eli Manning,17.8226796598,QB,7500,NYG
Ryan Nassib,1.52707411842,QB,5000,NYG
Ryan Tannehill,16.2943127612,QB,6900,MIA
Matt Moore,2.70134566456,QB,5400,MIA
Logan Thomas,1.79608633139,QB,4800,MIA
Johnny Manziel,9.30021452202,QB,6400,CLE
Austin Davis,7.86925531333,QB,6000,CLE
Blaine Gabbert,18.9054620995,QB,6400,SF
Amari Cooper,11.7671385388,WR,6900,OAK
Michael Crabtree,12.7154377838,WR,6700,OAK
Seth Roberts,6.71095910225,WR,5400,OAK
Andre Holmes,4.0466510011,WR,4900,OAK
Rod Streater,1.63057531846,WR,4500,OAK
Kris Durham,0.965882363673,WR,4500,OAK
Jeremy Ross,1.67926777876,WR,4500,OAK
Trindon Holliday,0.965882363673,WR,4500,OAK
Demaryius Thomas,12.4472449846,WR,7700,DEN
Emmanuel Sanders,11.240895637,WR,7100,DEN
Cody Latimer,1.7235227604,WR,4800,DEN
Bennie Fowler,1.95839796681,WR,4600,DEN
Solomon Patton,0.622778716847,WR,4500,DEN
Jordan Norwood,2.17543337041,WR,4500,DEN
Andre Caldwell,1.95882146715,WR,4500,DEN
Kamar Aiken,8.74429755127,WR,6000,BAL
Jeremy Butler,4.83853181159,WR,4700,BAL
Joseph Morgan,0.711510290853,WR,4500,BAL
Chris Givens,3.73981528862,WR,4500,BAL
Doug Baldwin,14.0643119953,WR,6800,SEA
Tyler Lockett,7.64506957564,WR,5600,SEA
Jermaine Kearse,5.86563392367,WR,5500,SEA
Kevin Smith,1.30908185597,WR,4500,SEA
Roddy White,5.19992544641,WR,5500,ATL
Nick Williams,3.56266147296,WR,4500,ATL
Justin Hardy,3.65291155943,WR,4500,ATL
Eric Weems,0.563201150678,WR,4500,ATL
Ted Ginn Jr.,10.0402123392,WR,6000,CAR
Devin Funchess,5.51793975568,WR,5800,CAR
Jerricho Cotchery,6.09748674254,WR,5300,CAR
Corey (Philly) Brown,5.00494578849,WR,4700,CAR
Randall Cobb,10.6352790001,WR,7000,GB
Davante Adams,6.58528746703,WR,6300,GB
James Jones,8.75887375711,WR,5300,GB
Jeff Janis,1.21871870901,WR,4800,GB
Jared Abbrederis,1.36857058461,WR,4700,GB
Dez Bryant,8.79269647437,WR,7400,DAL
Terrance Williams,7.71677547045,WR,5700,DAL
Cole Beasley,6.17087532116,WR,5200,DAL
Brice Butler,3.28903945398,WR,4900,DAL
Devin Street,1.51832737032,WR,4900,DAL
Lucky Whitehead,1.20451947538,WR,4500,DAL
Harry Douglas,4.92330246996,WR,5400,TEN
Dorial Green-Beckham,4.88289247233,WR,5100,TEN
Rico Richardson,0.482493166827,WR,4500,TEN
Brandon Marshall,16.2449827542,WR,8200,NYJ
Eric Decker,13.5932535721,WR,7300,NYJ
Devin Smith,2.52667403916,WR,4900,NYJ
Quincy Enunwa,3.42974337131,WR,4800,NYJ
Kenbrell Thompkins,3.20667559045,WR,4600,NYJ
Arthur Williams,0.44207055812,WR,4500,NYJ
Jeremy Kerley,2.79261158117,WR,4500,NYJ
Brandon LaFell,6.84761868729,WR,6400,NE
Keshawn Martin,4.80816277583,WR,5100,NE
Chris Harper,0.590890977761,WR,4500,NE
DeAndre Hopkins,17.641888272,WR,8700,HOU
Cecil Shorts,9.46534674332,WR,5600,HOU
Nate Washington,8.93534481557,WR,5200,HOU
Jaelen Strong,3.21453985786,WR,4600,HOU
Chandler Worthy,1.31890955812,WR,4500,HOU
Keith Mumphery,1.50509969602,WR,4500,HOU
Brandin Cooks,14.2272858545,WR,7100,NO
Marques Colston,6.38992958951,WR,5100,NO
Brandon Coleman,4.15549117826,WR,4600,NO
Mike Evans,13.664566541,WR,8000,TB
Adam Humphries,3.23215189329,WR,4800,TB
