Name	Projection	Id	Position	First Name	Last Name	FPPG	Played	Salary	Game	Team	Opponent	Location	Injury Indicator	Injury Details
Devonta Freeman	28.71030039	24920	RB	Devonta	Freeman	20.8	10	9000	ATL@TB	ATL	TAM	TAM	P	Concussion
Tom Brady	25.46972854	6498	QB	Tom	Brady	23.9	11	9400	PHI@NE	NWE	PHI	NWE		
Cam Newton	25.45581094	14185	QB	Cam	Newton	22.8	11	9000	CAR@NO	CAR	NOR	NOR		
Antonio Brown	24.17393646	11612	WR	Antonio	Brown	17.9	11	9000	IND@PIT	PIT	IND	PIT		
Jameis Winston	23.0418321	24849	QB	Jameis	Winston	17.9	11	7200	ATL@TB	TAM	ATL	TAM		
Matt Cassel	22.56026997	7778	QB	Matt	Cassel	9.8	6	6200	DAL@WAS	DAL	WAS	WAS		
Doug Martin	21.91430855	21970	RB	Doug	Martin	14	11	7600	ATL@TB	TAM	ATL	TAM		
Todd Gurley	21.43769511	30447	RB	Todd	Gurley	15.1	9	8400	ARI@STL	STL	ARI	STL		
Tyrod Taylor	21.03810086	14377	QB	Tyrod	Taylor	18.9	9	7400	HOU@BUF	BUF	HOU	BUF	P	Shoulder
Ben Roethlisberger	20.95711385	6589	QB	Ben	Roethlisberger	18.6	7	8100	IND@PIT	PIT	IND	PIT	P	Concussion
Kirk Cousins	20.71319502	22038	QB	Kirk	Cousins	16.3	11	6600	DAL@WAS	WAS	DAL	WAS		
Russell Wilson	20.69392219	22015	QB	Russell	Wilson	19.1	11	7800	SEA@MIN	SEA	MIN	MIN		
Austin Seferian-Jenkins	20.64097739	16923	TE	Austin	Seferian-Jenkins	14.7	2	5000	ATL@TB	TAM	ATL	TAM	Q	Shoulder
Brandon Marshall	20.50167186	6759	WR	Brandon	Marshall	16.2	11	8100	NYJ@NYG	NYJ	NYG	NYG	P	Toe
Marcus Mariota	20.35433278	29358	QB	Marcus	Mariota	17.5	9	7100	JAC@TEN	TEN	JAX	TEN		
Ryan Tannehill	20.31567389	21948	QB	Ryan	Tannehill	17.2	11	7300	BAL@MIA	MIA	BAL	MIA		
Ryan Fitzpatrick	20.30219176	7659	QB	Ryan	Fitzpatrick	17.9	11	7500	NYJ@NYG	NYJ	NYG	NYG	P	Thumb
Drew Brees	19.81169685	6504	QB	Drew	Brees	20	10	7700	CAR@NO	NOR	CAR	NOR		
Matt Ryan	19.01520014	6616	QB	Matt	Ryan	16.4	11	7400	ATL@TB	ATL	TAM	TAM		
DeMarco Murray	18.73910913	14254	RB	DeMarco	Murray	13.2	10	7400	PHI@NE	PHI	NWE	NWE		
Andy Dalton	18.72971626	14225	QB	Andy	Dalton	20.5	11	8000	CIN@CLE	CIN	CLE	CLE		
Adrian Peterson	18.71512868	6703	RB	Adrian	Peterson	17.3	11	9100	SEA@MIN	MIN	SEA	MIN		
Carson Palmer	18.56749984	6748	QB	Carson	Palmer	21.5	11	7900	ARI@STL	ARI	STL	STL		
Danny Woodhead	18.20665342	9421	RB	Danny	Woodhead	12.5	11	5700	DEN@SD	SDG	DEN	SDG		
Sammy Watkins	18.0056415	24641	WR	Sammy	Watkins	12.3	8	7000	HOU@BUF	BUF	HOU	BUF		
Brian Hoyer	17.96506164	7872	QB	Brian	Hoyer	16.5	8	7000	HOU@BUF	HOU	BUF	BUF		
Philip Rivers	17.86366255	7968	QB	Philip	Rivers	20.2	11	7600	DEN@SD	SDG	DEN	SDG	P	Foot
Brandon McManus	17.50341894	26247	K	Brandon	McManus	9.2	11	4800	DEN@SD	DEN	SDG	SDG		
Julio Jones	17.48396849	14190	WR	Julio	Jones	19.2	11	9200	ATL@TB	ATL	TAM	TAM		
Eric Decker	17.41810071	11501	WR	Eric	Decker	14.2	10	7200	NYJ@NYG	NYJ	NYG	NYG	P	Knee
Blaine Gabbert	17.38836118	14194	QB	Blaine	Gabbert	16.7	3	6300	SF@CHI	SFO	CHI	CHI		
Blake Bortles	17.31179037	34308	QB	Blake	Bortles	19.4	11	7400	JAC@TEN	JAX	TEN	TEN		
Alex Smith	17.24002073	8005	QB	Alex	Smith	17.1	11	6600	KC@OAK	KAN	OAK	OAK		
Jay Cutler	17.05565033	6898	QB	Jay	Cutler	16.6	10	7000	SF@CHI	CHI	SFO	CHI	P	Illness
Brandin Cooks	16.7704973	29501	WR	Brandin	Cooks	12.5	11	7100	CAR@NO	NOR	CAR	NOR		
Matt Hasselbeck	16.129606	6831	QB	Matt	Hasselbeck	16.8	4	6500	IND@PIT	IND	PIT	PIT		
Mark Ingram	16.09134454	14211	RB	Mark	Ingram	14.6	11	7200	CAR@NO	NOR	CAR	NOR	P	Shoulder
Blair Walsh	15.98866975	22110	K	Blair	Walsh	9.1	11	4800	SEA@MIN	MIN	SEA	MIN		
