FPPG,ID,Location,Name,Opponent,Position,Salary,Team,Projection 1,Projection 2,Projection 3,Projection 4,Projection 5,Projection 6,Projection 7,Projection 8,Projection 9,Projection 10,Mean,Median,Standard Deviation
11.3,32058,PIT,Chris Boswell,DEN,K,5000,PIT,11.2612665154,12.1950802322,6.09649811217,7.63978732776,11.9085960143,13.4755400086,7.800891428,11.206628496,11.9426655608,14.5634653792,10.8090419074,11.5849312649,2.59393382528
9.2,26247,PIT,Brandon McManus,PIT,K,4800,DEN,10.8110695637,7.44132291781,8.80550958693,11.5165453508,9.18430099948,8.27713878984,8.3905873899,10.4008176182,10.397955445,10.4843853892,9.57096330507,9.79112822222,1.25968772332
6.6,29994,SEA,Travis Coons,SEA,K,4500,CLE,5.36027426424,8.34201376077,9.83723473465,8.44669428951,9.07233915736,8.72821858793,7.48282948151,8.12854675503,8.32555202395,8.62303333768,8.23467363926,8.39435402514,1.12105902232
8.6,6724,SEA,Steven Hauschka,CLE,K,5000,SEA,9.23623822576,6.73021234572,10.6689413507,8.84179625798,8.18461569601,7.9639156481,9.05992735611,8.72338309546,10.0181602691,7.63334817221,8.70605384171,8.78258967672,1.08981249811
9.6,6522,NYG,Josh Brown,CAR,K,4700,NYG,8.64159356653,10.7384772693,13.4861688858,10.2531404643,12.7278429976,12.0666929741,11.004149253,7.75414382426,10.3208215205,12.1064952373,10.9099525993,10.8713132612,1.69212040257
10.5,10744,NYG,Graham Gano,NYG,K,5000,CAR,6.86479521525,13.1598460203,15.4783904345,11.3229910018,13.1666224136,10.2993208073,8.78622827416,9.3275077536,7.19223098153,9.1028940453,10.4700826947,9.81341428043,2.64760966712
8.1,30261,PHI,Caleb Sturgis,ARI,K,4700,PHI,7.58000707548,8.27183061531,11.7023995734,6.61751567574,6.26571118226,12.4797065905,8.88252416742,10.386018439,11.6299748951,7.17588961062,9.09915778249,8.57717739136,2.17235288457
9.6,24569,PHI,Chandler Catanzaro,PHI,K,5000,ARI,8.23496745639,8.81604356048,11.1638451315,7.59114942319,10.1768529208,13.6739048474,7.90190631477,10.3864537222,12.3282474084,6.17110756162,9.64444783466,9.49644824062,2.20389125352
5.2,6767,NWE,Ryan Succop,NWE,K,4500,TEN,3.79309807686,5.84931055163,3.26364548204,5.63996027751,5.09353339674,5.10258085807,4.33655903248,2.53755103721,4.32253307129,3.71069679982,4.36494685837,4.32954605188,1.0106352571
10.8,7900,NWE,Stephen Gostkowski,TEN,K,5100,NWE,11.3728071344,12.1746103658,11.4738620627,14.4850582088,8.69398224045,7.40120448094,10.610901117,8.29479663697,8.12713271565,12.2790822077,10.491343717,10.9918541257,2.16632284069
7.7,6668,IND,Adam Vinatieri,HOU,K,4700,IND,7.27473129811,3.64575408258,6.75040971267,6.72844438157,7.50086934864,9.27961082433,11.3518850078,4.9829716896,7.70961410521,6.19282691283,7.14171173634,7.01257050539,2.02167111757
5.4,12090,IND,Nick Novak,IND,K,4500,HOU,6.57816503837,2.52174745106,4.81038359732,5.62367015566,6.56220677631,4.88173738964,8.3460497291,6.32937043617,8.86735703002,6.6905858563,6.121127346,6.44578860624,1.72395695152
9.3,23045,BAL,Justin Tucker,KAN,K,4500,BAL,9.33705835907,10.6763407162,7.60438923126,9.24490090344,9.32392897833,9.84710304151,9.60071369068,10.9087138074,7.03424042097,7.38175858911,9.09591477379,9.3304936687,1.27078364938
9.6,33714,BAL,Cairo Santos,BAL,K,4800,KAN,9.94408252214,9.41849735012,5.81655021551,8.62949526805,9.48150516944,11.606849243,8.89555328673,11.8021069421,7.85856564992,9.18773472235,9.26409403694,9.30311603624,1.63917481864
6.4,6702,SFO,Phil Dawson,CIN,K,4600,SFO,6.58241833017,8.19896313032,8.6672777735,6.44252552193,6.16993245326,5.55458426771,6.70710737464,5.28006844631,5.18025977145,7.02474414401,6.58078812133,6.51247192605,1.09906097179
8.5,6636,SFO,Mike Nugent,SFO,K,4700,CIN,7.67309504638,9.19142665266,9.61357339033,7.57508417402,4.27735029799,8.80643552106,9.46459541243,8.59290122905,7.48882645636,7.87647139383,8.05597595741,8.23468631144,1.46835936118
8.6,22110,MIN,Blair Walsh,CHI,K,4600,MIN,7.96120433302,8.32029007592,6.65768328193,10.0360384014,8.46681215186,8.57333176993,10.0353431514,8.04769156981,8.24674775041,7.56738839875,8.39125308844,8.28351891316,0.972631686253
8.9,6910,MIN,Robbie Gould,MIN,K,4700,CHI,9.52536721527,15.8332705493,7.07636383769,6.56399287381,10.0510176585,8.63547382621,7.24988687056,5.99433421969,9.36156653688,8.09378840355,8.83850619914,8.36463111488,2.65762471868
5.5,15176,NOR,Kai Forbath,DET,K,4500,NOR,5.3183342659,3.96224157847,5.2518630127,5.65194716545,5.05837929074,4.3807941282,5.7484619312,4.71504693226,6.14293846099,5.09677774686,5.13267845128,5.17432037978,0.619241910734
7.0,6782,NOR,Matt Prater,NOR,K,4500,DET,8.39699499711,8.35412327609,7.88488061284,6.40214956763,3.52845168231,7.81788377101,5.35165440705,8.41334834181,7.11472057073,8.02270395327,7.12869111799,7.85138219193,1.52493711897
8.3,60745,JAX,Jason Myers,ATL,K,4700,JAX,7.72652014902,9.13221546399,7.79358280027,5.4498112906,9.87551648129,9.98856333785,9.2824285396,7.07060995116,9.69144831073,6.75321051805,8.27639068426,8.46289913213,1.46746965688
10.0,6815,JAX,Shayne Graham,JAX,K,4800,ATL,10.425331949,8.50522584148,9.98047728618,9.45634034987,8.77799145779,9.46288359234,9.81024873939,9.4144817145,12.1529674,8.59360989233,9.65795582229,9.4596119711,1.01563279215
7.1,7831,OAK,Sebastian Janikowski,GNB,K,4500,OAK,5.69292375317,8.27759326564,5.25650935164,8.72235973293,6.09305746975,7.79344043307,8.58591641865,7.13779319675,4.14650345959,5.73917816295,6.74452752441,6.61542533325,1.49708510904
8.0,6897,OAK,Mason Crosby,OAK,K,4800,GNB,8.16513722041,11.7349927583,6.43273268689,8.49961555995,9.11652370719,8.46434996672,5.46144472631,8.97972223961,4.44494565001,7.79014526873,7.90896097841,8.31474359356,1.9531850341
8.7,24912,WAS,Dustin Hopkins,BUF,K,4500,WAS,7.9450987762,7.27870088315,8.76132848748,8.10717198497,7.99968572982,10.0881389012,7.85060931505,8.96537869234,9.51202447591,8.13561061789,8.4643747864,8.12139130143,0.810996921045
7.4,6810,WAS,Dan Carpenter,WAS,K,4700,BUF,5.51102828101,6.91339402339,7.17220005716,6.56417352024,7.57889759321,7.03506586036,6.89923754443,7.64875417112,7.85119883668,6.97584105929,7.01497909469,7.00545345983,0.627248070662
4.8,62619,SDG,Andrew Franks,SDG,K,4600,MIA,5.97835880497,2.57095117578,4.70417893249,7.49797446494,3.88840892896,6.08055222182,3.35341272249,5.39944187694,4.2674828568,4.8370106009,4.85777725861,4.77059476669,1.37185115044
7.5,32429,SDG,Josh Lambo,MIA,K,4500,SDG,10.4808081221,7.14835227811,8.47996413602,6.89230771835,6.31661979138,7.05310700373,6.56933190195,8.0831988749,8.83968043936,6.16350993308,7.6026880199,7.10072964092,1.28919975129
19.2,6589,PIT,Ben Roethlisberger,DEN,QB,8000,PIT,15.6477452048,13.2413436978,19.5501533552,23.8152321356,12.2912922156,18.8156299572,21.0382692059,17.2381454387,22.8845733871,26.3874143241,19.0909798922,19.1828916562,4.35625201911
13.3,21994,PIT,Brock Osweiler,PIT,QB,6700,DEN,11.8139933558,12.9599966955,15.3818209003,14.8180565007,16.8913833744,16.9414629708,8.80289887221,13.653410968,17.8628118864,15.5783662618,14.4704201786,15.0999387005,2.60347398602
10.5,32415,SEA,Johnny Manziel,SEA,QB,6200,CLE,12.0538307588,7.39832551759,6.81335675267,12.5226720762,10.2804289398,5.12685555889,6.7681828406,8.18131892669,12.5889495412,8.88025979698,9.06141807094,8.53078936184,2.53438430578
21.2,22015,SEA,Russell Wilson,CLE,QB,8800,SEA,20.570318311,22.7217690091,23.4328669779,22.423033134,19.0364785044,20.5639633206,16.6124577602,22.0352382071,19.6111680574,26.231381707,21.3238674989,21.302778259,2.52404589437
19.1,6826,NYG,Eli Manning,CAR,QB,7200,NYG,16.8239899778,18.2105020741,25.7354013586,15.3340992941,26.3779593819,23.0056447503,16.2913522281,17.5842760087,19.7889264802,29.1062553951,20.8258406949,18.9997142771,4.61957972536
23.9,14185,NYG,Cam Newton,NYG,QB,9400,CAR,23.7943258969,23.2430902937,20.1313671981,28.3040130645,27.0087304169,22.5428030668,19.8365653931,28.3263719408,24.1359925818,23.4008382584,24.0724098111,23.5975820776,2.85759834202
13.9,11414,PHI,Sam Bradford,ARI,QB,6300,PHI,13.7173615474,16.6526215737,12.8509941151,13.0289221434,14.2327468366,11.1922085133,13.1421563401,14.3324764864,12.177348289,10.3655303483,13.1692366193,13.0855392417,1.6671395826
21.5,6748,PHI,Carson Palmer,PHI,QB,8700,ARI,23.8085782161,22.2925188308,19.3550389476,23.4717162356,18.0833219734,20.8806625379,20.5989058371,19.4551793883,21.5264198404,22.0866252618,21.1558967069,21.2035411892,1.75092628069
19.6,29358,NWE,Marcus Mariota,NWE,QB,7300,TEN,19.0620521522,15.4858261471,15.833099176,19.2737346937,22.4738999588,18.1417346372,19.0186407303,16.3786210409,17.4716654304,20.9341755152,18.4073449482,18.5801876838,2.11420142621
24.2,6498,NWE,Tom Brady,TEN,QB,9500,NWE,20.7381198535,23.9985447238,24.5292275151,19.5794750683,24.9846329102,28.9843988158,18.77931794,18.8628230426,26.2314313657,23.4299186365,23.0117889872,23.7142316801,3.24745280289
13.9,6831,IND,Matt Hasselbeck,HOU,QB,6400,IND,12.7265745254,13.9563797852,13.2441220062,14.9400945042,12.7111304138,14.9300546495,14.7192986828,12.7659842566,13.611404455,16.6423321522,14.0247375431,13.7838921201,1.21539386753
16.1,7872,IND,Brian Hoyer,IND,QB,7000,HOU,12.5654280344,11.3495979868,14.6698667558,13.0438099811,16.3808965774,7.54853973513,17.4856276923,13.9651867611,18.3324055292,15.0840400287,14.0425399082,14.3175267584,2.99688593087
15.3,6679,BAL,Matt Schaub,KAN,QB,6000,BAL,14.6425793451,16.827039156,15.6050142444,15.4227981693,13.7276787012,15.9187156252,14.775921259,15.9928688979,16.2615858077,13.7752645949,15.2949465801,15.5139062069,0.986463514779
17.4,8005,BAL,Alex Smith,BAL,QB,7000,KAN,17.3335564585,18.3828827683,13.8440079821,14.6540949485,16.9514970999,22.4007328383,10.6281716151,22.5610934249,18.5332873698,17.8363177717,17.3125642277,17.5849371151,3.46780678768
17.8,14194,SFO,Blaine Gabbert,CIN,QB,6300,SFO,15.8941622119,16.2348367475,19.5531536175,17.071592353,16.8875840991,16.7288116413,19.4457649202,19.5833534076,15.5054972499,15.0304935209,17.1935249769,16.8081978702,1.63742808344
4.7,31047,SFO,AJ McCarron,SFO,QB,6000,CIN,6.95982089357,3.10370063712,8.56962238273,2.71419687083,2.06038423556,6.43191208812,8.01525548051,4.08734230792,6.19926965396,3.33395473257,5.14754592829,5.14330598094,2.23643976851
12.4,33259,MIN,Teddy Bridgewater,CHI,QB,6000,MIN,12.8509388152,13.6067212184,10.1265790629,9.98836626669,9.64275966029,13.4381308085,11.2880772194,12.427419242,10.2848064651,13.8397815765,11.7493580335,11.8577482307,1.57717535102
16.1,6898,MIN,Jay Cutler,MIN,QB,6700,CHI,15.8977054546,15.0989049712,15.3149353191,15.9241323768,16.6366937978,18.3302400582,14.8566736956,14.6315376601,17.120033099,17.3936237952,16.1204480228,15.9109189157,1.15604377239
20.3,6504,NOR,Drew Brees,DET,QB,8000,NOR,20.6213850623,18.3038431012,20.7350728258,32.0759230479,16.985299224,17.3038504758,16.6596777447,19.4923809308,16.0368581824,19.6461953892,19.7860485984,18.898112016,4.3906526713
18.1,6654,NOR,Matthew Stafford,NOR,QB,7800,DET,17.7132577868,22.4112826101,20.0983605193,15.9217914579,18.5544049655,16.1862501115,15.7759259183,19.1675549042,22.1610718319,15.680426765,18.3670326871,18.1338313762,2.43963635252
20.9,34308,JAX,Blake Bortles,ATL,QB,7900,JAX,23.1812257982,20.133001693,25.183125234,29.6945167346,22.2287303548,20.7225119746,20.4179011207,21.0317081173,21.2460889292,20.2264745766,22.4065284533,21.1388985233,2.85315423451
15.4,6616,JAX,Matt Ryan,JAX,QB,7200,ATL,15.6005876329,15.0747247533,16.614952478,16.3743673251,16.6493279667,15.619863499,14.0915635098,15.6244537136,13.7321312509,15.9643545903,15.534632672,15.6221586063,0.941387759738
18.1,45859,OAK,Derek Carr,GNB,QB,7200,OAK,11.250755142,21.8144777077,18.0094580424,20.8347421875,20.7641628819,15.2142640733,19.810280046,21.3145245072,15.525740101,18.0928790094,18.2631283698,18.9515795277,3.21310955109
