FPPG,ID,Location,Name,Opponent,Position,Salary,Team,Projection 1,Projection 2,Projection 3,Projection 4,Projection 5,Projection 6,Projection 7,Projection 8,Projection 9,Projection 10,Projection 11,Projection 12,Projection 13,Projection 14,Projection 15,Projection 16,Projection 17,Projection 18,Projection 19,Projection 20,Projection 21,Projection 22,Projection 23,Projection 24,Projection 25,Projection 26,Projection 27,Projection 28,Projection 29,Projection 30,Projection 31,Projection 32,Projection 33,Projection 34,Projection 35,Projection 36,Projection 37,Projection 38,Projection 39,Projection 40,Projection 41,Projection 42,Projection 43,Projection 44,Projection 45,Projection 46,Projection 47,Projection 48,Projection 49,Projection 50,Mean,Median,Standard Deviation
8.3,6636,DEN,Mike Nugent,DEN,K,4800,CIN,8.01344955773,9.07683893785,6.27130519858,12.5182117595,7.74799703049,7.38874170483,8.84461180829,8.11145461297,9.45909443551,8.76590915962,7.24869629422,6.24750646589,17.4910507017,8.00764264185,6.89658373721,9.46384089063,8.17961241923,7.85778543821,9.83319619498,6.14372782573,7.90038515179,10.6243529011,7.75641098954,7.73261703691,8.31348886177,9.01622450427,9.31351103782,8.7009903856,7.51633925714,8.59180582001,8.73924443514,9.42080506518,7.11611034563,8.91175816772,10.7188347655,9.06447954489,8.80230524588,5.4386013331,6.67609594405,10.1755057296,8.23351443876,9.47807871235,9.82075176122,11.2742223905,9.01209985428,6.79545698568,8.46087012898,6.56589010569,8.65806334482,15.3331460898,8.754584343,8.62493458241,2.08079834883
8.7,26247,DEN,Brandon McManus,CIN,K,4800,DEN,8.33287137497,8.34637097408,8.59022720787,7.77915841362,10.0981728993,9.12600796283,8.46092849368,7.2416393931,8.94544544799,9.12018976553,8.17250899692,7.03625522476,8.75788184605,8.66766980263,7.78998166746,9.39670086428,8.50849324559,8.32221315161,9.29653157713,8.9328432069,8.36555382837,7.7486683123,13.2007252479,8.39602461257,8.61876058836,8.1007749556,9.47738806902,7.40699855128,10.6406216779,8.76370603059,8.48053877293,8.51648721711,10.369473214,8.29276096795,10.6150290654,8.62312241199,8.83231291968,8.03998738195,8.34308117239,11.0066592356,8.56623021704,7.73811348498,9.57138378835,8.6659139498,7.34898154727,9.08693392584,8.68376385122,7.595562493,9.12464863691,6.4878865072,8.71260368302,8.57822871245,1.10437401354
6.7,22109,SEA,Greg Zuerlein,SEA,K,4500,STL,7.21072588222,7.33253422453,5.79226725476,7.59391345761,6.39388910585,7.76451682405,10.7944011691,7.22787331945,8.22522270781,7.44250221408,6.23473232314,6.73813406898,6.29159872115,8.55347297855,5.98826653346,5.92557677962,5.39812169234,6.27226347954,11.8429825051,6.70144042066,6.2727626537,6.87422027521,7.09646355718,11.2427700728,9.69048487023,6.34109443287,7.69326384708,6.08652175045,6.44236825177,6.44764057542,9.07294209811,6.41961370378,5.14266984655,7.21981612626,7.39634042406,6.35374829369,6.17950419982,7.80478144753,7.54485657313,7.45908729669,6.20555361985,6.65370992743,7.57461214007,5.73833507809,5.96974659446,6.98572192545,7.19746932129,7.76962833137,11.5494240794,6.66144936256,7.25622072677,6.92997110033,1.4969353913
8.9,6724,SEA,Steven Hauschka,STL,K,5100,SEA,9.57270309279,8.71879901599,9.12744511786,8.55731010361,9.19096318065,8.69109074935,7.89328161638,8.30945383575,9.1957533585,8.58013248345,8.78031465199,9.09442177144,9.05156580674,10.0564691263,8.58807054312,7.70553034591,7.94592415136,8.91849881005,9.27047790037,9.47294026582,8.51667950934,8.51163254522,8.60995764123,8.1382513481,7.93828696108,7.33728427096,8.50638101338,8.03774616861,9.11572717402,9.26035658724,8.28704710072,8.24707192381,8.57171307966,9.06583733473,8.48106278327,9.13468870924,8.92929563459,8.47805938502,9.10585679944,9.01210708696,9.37682040211,8.71987684275,9.15511053532,8.73166493006,8.91566985587,9.4539316982,9.51941119774,9.62439096246,10.6672969712,8.45648587379,8.81253696507,8.75598979103,0.599324123957
10.7,6815,ATL,Shayne Graham,CAR,K,4700,ATL,10.6244490423,10.3971044409,12.1875383955,7.95510062942,12.474670225,11.3446173942,11.2338751472,10.1746097067,11.517102282,8.995591252,9.32148339367,9.93126532679,11.8705811751,10.8563090812,8.20846385888,11.0208138676,12.7079519314,11.2476829078,8.7623945492,10.8488823128,10.6459454783,10.8706618715,9.81786114785,8.9445647297,8.83064664328,9.0554900811,9.77304967329,11.0927838066,10.6086505963,9.35876006504,9.5003547701,6.76083997187,10.7617074372,10.0176449016,11.2509791436,10.2007332419,11.020132704,12.045415191,10.5057429288,10.4801605689,10.002891402,10.4074515223,9.33277166883,8.07761595251,12.112937199,9.66127891454,10.3475562198,11.0318615619,9.18284128784,7.96646055324,10.2269255631,10.4022779816,1.26450267557
10.4,10744,ATL,Graham Gano,ATL,K,4800,CAR,9.79050928041,9.15000383007,10.8453571051,9.93150935243,9.63227810922,11.0684135757,10.385376187,10.4378772088,9.11913889813,9.69358752315,9.34390659184,10.2501752066,10.6781693659,9.67439047027,9.6431930585,9.59264389275,11.8615239274,9.28633563157,10.5018625446,11.2810822472,11.3958773712,9.82246361355,8.72189056367,7.49765911539,8.76927381273,8.58228946707,9.26898750233,9.4504730433,10.2537669374,8.38460711327,11.3271564291,8.05432176957,9.99632828357,10.0030888249,11.5081707697,9.38209853508,10.701071624,9.92773964301,9.53375554947,10.2556473939,9.54212821756,8.64357757766,10.0576130616,8.29131274893,10.6529936249,10.5534179917,8.05128224586,11.2125360084,9.79226742706,8.113494033,9.79829248611,9.79138835373,0.99625258076
5.2,6767,TEN,Ryan Succop,HOU,K,4500,TEN,5.61234069351,4.44478382885,6.43196484843,3.83960030197,5.82482878247,5.44876604159,5.58383941516,6.25164547757,6.42478959662,4.88653483751,5.4866849675,6.79167737055,5.85242765465,4.99850048316,5.10848024891,5.47363534724,6.04939838202,6.49629457526,5.72604499009,6.24347527555,5.04220476313,5.2837197284,4.92787774615,5.44498418959,4.95504158686,5.56443251106,5.30691221399,6.40945844,5.98049458071,5.66286681081,4.30895117708,6.01848457241,4.82598961261,5.00829650749,3.68666151605,6.53201719528,5.20176550548,6.31955782018,4.69017599968,4.74702461598,5.56819113903,5.47774411789,6.49162303687,4.48677386651,5.06531756497,5.93204198377,6.09062901512,5.33945766024,5.21688661457,6.30381764137,5.49730225704,5.4822145427,0.706836609502
5.9,12090,TEN,Nick Novak,TEN,K,4500,HOU,5.86641591827,6.31337386057,5.96376416554,6.85945568219,5.90987182282,6.40988901773,5.5120852015,5.55383664978,6.28483241974,5.61644746984,5.98917290238,6.75537463942,6.30492363796,6.43639016316,6.03829153749,6.21399405144,5.6265139969,6.40271551013,5.7163325217,6.70381132405,6.77224976119,7.01809209167,6.78744427372,6.23040509034,6.9699458948,6.26279497131,6.19990814871,3.94462147931,5.76749723065,5.64720061553,6.03528088133,6.18864191307,5.18801410966,7.34555742177,6.5275096723,5.96415864426,5.19261650649,6.16084825897,6.20323937949,5.32059834022,5.3444628274,6.6642827898,5.45404375728,5.01219127108,5.45953842223,6.87164856718,5.74724655891,5.96168117061,5.82083714772,5.72967673329,6.04539452846,6.03678620941,0.607723849587
11.3,7900,NYJ,Stephen Gostkowski,NYJ,K,5200,NWE,9.50011922177,9.7686287787,12.5573707163,9.98880687094,12.1420374587,11.1741932295,12.3710969023,10.6636234797,10.9602852506,12.5460909443,10.2477788664,11.3630787953,10.8237742907,11.1579311582,10.1387981294,10.9658677596,11.0563255437,11.0943849552,10.3161652831,10.9611918763,9.55328750308,9.93584007838,11.7052626867,10.6567399943,8.70131295436,9.47789596104,10.2961062328,11.431257958,10.2924063239,8.12462282535,9.87554377271,11.3968728624,10.7897270581,8.10618757031,10.1187884184,10.2232338582,11.1156674534,12.4042391828,11.4748129715,11.8872123062,11.4060849441,10.2503088424,9.83101693975,10.3787890133,10.9275849608,9.57041419142,9.95336646099,11.0228741353,10.7492875677,9.13225666196,10.611731024,10.7064555237,1.0164497597
8.1,22100,NYJ,Randy Bullock,NWE,K,4700,NYJ,8.20890542289,7.48296610013,8.51472616713,7.31021666606,8.42323970407,7.89315130493,9.00824814026,7.79987162743,7.97594467143,8.11244337061,8.58335123134,8.4527508353,8.31457547856,8.54192365752,7.65150682535,7.47527049054,8.00825377908,8.04282540367,8.51440988579,7.87900328165,7.64625639465,7.59363443189,8.50862733403,6.94728164532,7.57632985742,7.16286341898,7.92260055782,8.81929054799,8.10483113873,7.95329823974,8.32545683843,8.19725023934,8.30761081584,8.4004280737,8.10325571417,8.07033955815,8.0274462775,8.108598411,8.24899401836,10.809204988,8.33009467802,7.76372505925,7.87726949297,8.06733817399,8.41373197453,7.30099622336,8.54252977284,7.9806580848,8.07473124011,7.70429389515,8.1016510228,8.07253539913,0.570134821358
