Total_RK,TEAM,Total_YDS,Total_YDS/G,Total_PASS,Total_P YDS/G,Total_RUSH,Total_R YDS/G,Total_PTS,Total_PTS/G,SEASON,Passing_RK,Passing_ATT,Passing_COMP,Passing_PCT,Passing_YDS/A,Passing_LONG,Passing_TD,Passing_INT,Passing_YDSL,Passing_RATE,Rushing_RK,Rushing_ATT,Rushing_YDS/A,Rushing_LONG,Rushing_TD,Rushing_FUM,Rushing_FUML,Receiving_RK,Receiving_REC,Receiving_AVG,Receiving_LONG,Receiving_TD,Receiving_FUM,Receiving_FUML,Returning_RK,Kickoff_Return_ATT,Kickoff_Return_Yds,Kickoff_Return_AVG,Kickoff_Return_LNG,Kickoff_Return_TD,Punt_Return_ATT,Punt_Return_YDS,Punt_Return_AVG,Punt_Return_LNG,Punt_Return_TD,Punt_Return_FC
1,PIT,4413,275.8,2963,185.2,1450,90.6,314,19.6,2012,1,523,299,57.2,6,71,19,10,196,79,2,391,3.7,64,9,6,4,1,299,10.6,71,19,5,3,12,46,1103,24,51,0,30,306,10.2,63,1,20
2,DEN,4652,290.8,3194,199.6,1458,91.1,289,18.1,2012,3,559,321,57.4,6.4,61,25,16,364,79.4,3,404,3.6,36,5,6,3,6,321,11.1,61,25,1,0,28,34,751,22.1,50,0,33,203,6.2,40,0,17
3,SFO,4710,294.4,3203,200.2,1507,94.2,273,17.1,2012,4,567,337,59.4,6.1,53,19,14,270,78,4,407,3.7,35,7,5,3,4,337,10.3,53,19,7,5,4,48,1289,26.9,66,0,36,249,6.9,75,1,18
4,SEA,4899,306.2,3250,203.1,1649,103.1,245,15.3,2012,6,564,327,58,6.2,56,15,18,247,71.8,10,368,4.5,74,8,8,3,5,327,10.7,56,15,5,1,10,50,1147,22.9,40,0,29,252,8.7,38,0,17
5,CHI,5050,315.6,3423,213.9,1627,101.7,277,17.3,2012,8,592,350,59.1,6.3,62,19,24,289,71.3,8,388,4.2,80,6,12,9,10,350,10.6,62,19,10,4,27,37,767,20.7,38,0,25,84,3.4,17,0,25
6,CIN,5115,319.7,3400,212.5,1715,107.2,320,20,2012,7,560,346,61.8,6.7,71,16,14,361,80.7,12,423,4.1,32,13,8,5,11,346,10.9,71,16,4,4,3,60,1468,24.5,105,1,27,210,7.8,60,0,14
7,HOU,5172,323.3,3612,225.8,1560,97.5,331,20.7,2012,16,581,308,53,6.7,81,29,15,269,80,7,390,4,29,5,10,6,15,308,12.6,81,29,4,3,2,62,1595,25.7,101,2,48,483,10.1,72,1,15
8,NYJ,5174,323.4,3036,189.8,2138,133.6,375,23.4,2012,2,494,266,53.8,6.5,83,20,11,170,78.2,26,495,4.3,94,17,7,6,2,266,12.1,83,20,3,2,9,54,1184,21.9,104,1,31,375,12.1,63,1,24
9,SDG,5223,326.4,3681,230.1,1542,96.4,350,21.9,2012,18,568,347,61.1,6.9,55,28,14,244,87.9,6,406,3.8,41,10,9,5,18,347,11.3,55,28,6,4,16,45,1017,22.6,71,0,40,362,9.1,24,0,15
10,CAR,5329,333.1,3568,223,1761,110.1,363,22.7,2012,13,555,371,66.8,6.9,60,22,11,284,91.7,14,416,4.2,65,11,7,4,14,371,10.4,60,22,1,1,29,39,739,18.9,45,0,37,318,8.6,76,1,20
11,GNB,5388,336.8,3492,218.3,1896,118.5,336,21,2012,11,568,313,55.1,6.7,80,24,18,309,76.8,17,418,4.5,82,12,3,1,12,313,12.1,80,24,4,1,8,51,1193,23.4,41,0,24,179,7.5,25,0,26
12,ARI,5405,337.8,3213,200.8,2192,137,357,22.3,2012,5,497,270,54.3,6.9,80,20,22,228,71.2,28,506,4.3,46,12,5,2,3,270,12.7,80,20,4,3,24,32,846,26.4,83,0,48,415,8.6,52,0,36
13,DET,5458,341.1,3569,223.1,1889,118.1,437,27.3,2012,14,544,346,63.6,7,71,26,11,237,91.7,16,420,4.5,81,13,4,1,13,346,11,71,26,3,2,7,52,1213,23.3,105,2,33,328,9.9,77,2,26
14,STL,5482,342.6,3602,225.1,1880,117.5,348,21.8,2012,15,547,362,66.2,7.2,68,16,17,325,83.9,15,442,4.3,82,18,4,2,19,362,10.8,68,16,2,0,30,30,730,24.3,69,0,41,402,9.8,26,0,12
15,PHI,5491,343.2,3470,216.9,2021,126.3,444,27.8,2012,9,485,292,60.2,7.6,63,33,8,198,99.6,23,479,4.2,43,11,7,0,7,292,12.6,63,33,0,0,17,41,1012,24.7,53,0,40,542,13.6,78,1,15
16,MIN,5600,350,3908,244.3,1692,105.8,348,21.8,2012,24,612,391,63.9,6.9,73,28,10,284,92.3,11,427,4,76,10,8,6,25,391,10.7,73,28,3,1,26,33,795,24.1,94,0,41,341,8.3,32,0,12
17,BAL,5615,350.9,3650,228.1,1965,122.8,344,21.5,2012,17,557,335,60.1,7,59,15,13,250,80.6,20,492,4,31,15,11,6,17,335,11.6,59,15,3,3,22,37,859,23.2,42,0,49,383,7.8,64,0,13
18,OAK,5672,354.5,3775,235.9,1897,118.6,443,27.7,2012,20,526,347,66,7.5,64,28,11,185,97.5,18,444,4.3,70,18,3,3,20,347,11.4,64,28,6,3,19,30,868,28.9,105,2,45,450,10,28,0,16
19,DAL,5687,355.4,3684,230.3,2003,125.2,400,25,2012,19,511,320,62.6,7.6,68,22,7,211,94.7,22,441,4.5,43,17,4,3,16,320,12.2,68,22,3,1,13,50,1102,22,108,1,29,279,9.6,98,1,15
20,KAN,5704,356.5,3533,220.8,2171,135.7,425,26.6,2012,12,464,279,60.1,8,62,29,7,161,99.9,27,482,4.5,47,11,7,2,9,279,13.2,62,29,6,1,31,27,690,25.6,77,0,27,362,13.4,93,2,22
21,MIA,5708,356.8,3974,248.4,1734,108.4,317,19.8,2012,27,600,353,58.8,7,66,18,10,242,83.4,13,431,4,62,10,3,0,27,353,11.9,66,18,6,3,19,35,868,24.8,98,1,43,484,11.3,79,1,11
22,BUF,5806,362.9,3473,217.1,2333,145.8,435,27.2,2012,10,536,306,57.1,6.8,53,25,12,196,84.4,31,470,5,83,23,11,2,8,306,12,53,25,6,3,11,51,1144,22.4,96,1,35,517,14.8,75,2,14
