Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
12525,DEF,Atlanta,Falcons,ATL Defense,6.6,12,4300,ATL@CAR,ATL,CAR,,,Y
12555,DEF,Baltimore,Ravens,BAL Defense,7.3,12,4100,SEA@BAL,BAL,SEA,,,Y
12526,DEF,Buffalo,Bills,BUF Defense,6.4,12,4600,BUF@PHI,BUF,PHI,,,Y
12553,DEF,Carolina,Panthers,CAR Defense,10.9,12,5000,ATL@CAR,CAR,ATL,,,Y
12527,DEF,Chicago,Bears,CHI Defense,5.7,12,4500,WAS@CHI,CHI,WAS,,,Y
12528,DEF,Cincinnati,Bengals,CIN Defense,9.1,12,4900,PIT@CIN,CIN,PIT,,,Y
12529,DEF,Cleveland,Browns,CLE Defense,5.3,12,4300,SF@CLE,CLE,SF,,,Y
12530,DEF,Dallas,Cowboys,DAL Defense,5.7,12,4000,DAL@GB,DAL,GNB,,,Y
12531,DEF,Denver,Broncos,DEN Defense,12.8,12,5400,OAK@DEN,DEN,OAK,,,Y
12532,DEF,Detroit,Lions,DET Defense,6.2,12,4700,DET@STL,DET,STL,,,Y
12533,DEF,Green Bay,Packers,GNB Defense,7.1,12,4800,DAL@GB,GNB,DAL,,,Y
12556,DEF,Houston,Texans,HOU Defense,6.9,12,4500,NE@HOU,HOU,NWE,,,Y
12535,DEF,Indianapolis,Colts,IND Defense,6.6,12,4300,IND@JAC,IND,JAX,,,Y
12554,DEF,Jacksonville,Jaguars,JAX Defense,5.8,12,4300,IND@JAC,JAX,IND,,,Y
12536,DEF,Kansas City,Chiefs,KAN Defense,9.9,12,4800,SD@KC,KAN,SD,,,Y
12539,DEF,Miami,Dolphins,MIA Defense,6.8,12,4600,NYG@MIA,MIA,NYG,,,Y
12541,DEF,New England,Patriots,NWE Defense,7.6,12,4900,NE@HOU,NWE,HOU,,,Y
12542,DEF,New Orleans,Saints,NOR Defense,5.4,12,4000,NO@TB,NOR,TAM,,,Y
12543,DEF,New York,Giants,NYG Defense,9.1,12,4600,NYG@MIA,NYG,MIA,,,Y
12544,DEF,New York,Jets,NYJ Defense,7.2,12,4800,TEN@NYJ,NYJ,TEN,,,Y
12537,DEF,Oakland,Raiders,OAK Defense,6,12,4300,OAK@DEN,OAK,DEN,,,Y
12545,DEF,Philadelphia,Eagles,PHI Defense,9.6,12,4600,BUF@PHI,PHI,BUF,,,Y
12547,DEF,Pittsburgh,Steelers,PIT Defense,8.8,12,4400,PIT@CIN,PIT,CIN,,,Y
12548,DEF,San Diego,Chargers,SDG Defense,4.2,12,4100,SD@KC,SDG,KAN,,,Y
12550,DEF,Seattle,Seahawks,SEA Defense,10.7,12,5300,SEA@BAL,SEA,BAL,,,Y
12549,DEF,San Francisco,49ers,SFO Defense,4.5,12,4300,SF@CLE,SFO,CLE,,,Y
12538,DEF,St Louis,Rams,STL Defense,8.4,12,4600,DET@STL,STL,DET,,,Y
12551,DEF,Tampa Bay,Buccaneers,TAM Defense,8,12,4300,NO@TB,TAM,NOR,,,Y
12534,DEF,Tennessee,Titans,TEN Defense,6.8,12,4200,TEN@NYJ,TEN,NYJ,,,Y
12552,DEF,Washington,Redskins,WAS Defense,8,12,4500,WAS@CHI,WAS,CHI,,,Y
10647,K,Matt,Bryant,Matt Bryant,7.4,10,5000,ATL@CAR,ATL,CAR,Q,Quadriceps,Y
6815,K,Shayne,Graham,Shayne Graham,10,2,4700,ATL@CAR,ATL,CAR,,,Y
23045,K,Justin,Tucker,Justin Tucker,9.6,12,4700,SEA@BAL,BAL,SEA,,,Y
6810,K,Dan,Carpenter,Dan Carpenter,7.3,12,4600,BUF@PHI,BUF,PHI,,,Y
10744,K,Graham,Gano,Graham Gano,10.8,12,4900,ATL@CAR,CAR,ATL,,,Y
6910,K,Robbie,Gould,Robbie Gould,9.4,12,4800,WAS@CHI,CHI,WAS,,,Y
6636,K,Mike,Nugent,Mike Nugent,8.4,12,4800,PIT@CIN,CIN,PIT,,,Y
29994,K,Travis,Coons,Travis Coons,6.7,12,4500,SF@CLE,CLE,SF,,,Y
14952,K,Dan,Bailey,Dan Bailey,9,12,4500,DAL@GB,DAL,GNB,,,Y
26247,K,Brandon,McManus,Brandon McManus,8.8,12,5000,OAK@DEN,DEN,OAK,,,Y
6782,K,Matt,Prater,Matt Prater,7.4,12,4500,DET@STL,DET,STL,,,Y
6897,K,Mason,Crosby,Mason Crosby,8.3,12,4700,DAL@GB,GNB,DAL,,,Y
12090,K,Nick,Novak,Nick Novak,5.2,9,4500,NE@HOU,HOU,NWE,,,Y
6668,K,Adam,Vinatieri,Adam Vinatieri,7.5,12,4600,IND@JAC,IND,JAX,,,Y
60745,K,Jason,Myers,Jason Myers,8.2,12,4600,IND@JAC,JAX,IND,,,Y
33714,K,Cairo,Santos,Cairo Santos,10,12,4700,SD@KC,KAN,SD,,,Y
62619,K,Andrew,Franks,Andrew Franks,4.7,12,4500,NYG@MIA,MIA,NYG,,,Y
7900,K,Stephen,Gostkowski,Stephen Gostkowski,10.8,12,5000,NE@HOU,NWE,HOU,,,Y
15176,K,Kai,Forbath,Kai Forbath,5.4,7,4600,NO@TB,NOR,TAM,,,Y
6522,K,Josh,Brown,Josh Brown,9.8,12,4800,NYG@MIA,NYG,MIA,,,Y
22100,K,Randy,Bullock,Randy Bullock,7.3,7,4700,TEN@NYJ,NYJ,TEN,,,Y
7831,K,Sebastian,Janikowski,Sebastian Janikowski,7.6,12,4500,OAK@DEN,OAK,DEN,,,Y
30261,K,Caleb,Sturgis,Caleb Sturgis,7.6,9,4600,BUF@PHI,PHI,BUF,,,Y
32058,K,Chris,Boswell,Chris Boswell,10.5,8,4700,PIT@CIN,PIT,CIN,,,Y
32429,K,Josh,Lambo,Josh Lambo,7.9,12,4600,SD@KC,SDG,KAN,,,Y
6724,K,Steven,Hauschka,Steven Hauschka,8.9,12,5100,SEA@BAL,SEA,BAL,,,Y
6702,K,Phil,Dawson,Phil Dawson,6.5,12,4700,SF@CLE,SFO,CLE,,,Y
31109,K,Zach,Hocker,Zach Hocker,5.6,8,4500,DET@STL,STL,DET,Q,Quadriceps,Y
22109,K,Greg,Zuerlein,Greg Zuerlein,7,10,4500,DET@STL,STL,DET,Q,Groin,Y
6427,K,Connor,Barth,Connor Barth,9.8,8,4600,NO@TB,TAM,NOR,,,Y
6767,K,Ryan,Succop,Ryan Succop,5.7,12,4500,TEN@NYJ,TEN,NYJ,,,Y
24912,K,Dustin,Hopkins,Dustin Hopkins,8.8,11,4500,WAS@CHI,WAS,CHI,,,Y
6616,QB,Matt,Ryan,Matt Ryan,16.2,12,7100,ATL@CAR,ATL,CAR,,,Y
24760,QB,Sean,Renfree,Sean Renfree,-0.4,1,5000,ATL@CAR,ATL,CAR,,,N
6679,QB,Matt,Schaub,Matt Schaub,15.3,2,6000,SEA@BAL,BAL,SEA,Q,Shoulder,Y
11466,QB,Jimmy,Clausen,Jimmy Clausen,3.6,2,5000,SEA@BAL,BAL,SEA,,,N
14377,QB,Tyrod,Taylor,Tyrod Taylor,20,10,7500,BUF@PHI,BUF,PHI,,,Y
24949,QB,E.J.,Manuel,E.J. Manuel,10.3,4,5000,BUF@PHI,BUF,PHI,,,N
8023,QB,Josh,Johnson,Josh Johnson,0,0,4800,BUF@PHI,BUF,PHI,,,N
14185,QB,Cam,Newton,Cam Newton,24,12,9200,ATL@CAR,CAR,ATL,,,Y
6373,QB,Derek,Anderson,Derek Anderson,0.2,1,5000,ATL@CAR,CAR,ATL,,,N
11615,QB,Joe,Webb,Joe Webb,0,12,5000,ATL@CAR,CAR,ATL,,,N
6898,QB,Jay,Cutler,Jay Cutler,15.8,11,6700,WAS@CHI,CHI,WAS,,,Y
43956,QB,David,Fales,David Fales,0,0,5000,WAS@CHI,CHI,WAS,,,N
14225,QB,Andy,Dalton,Andy Dalton,20.8,12,8200,PIT@CIN,CIN,PIT,,,Y
31047,QB,AJ,McCarron,AJ McCarron,0.2,3,5000,PIT@CIN,CIN,PIT,,,N
32415,QB,Johnny,Manziel,Johnny Manziel,9.7,6,6400,SF@CLE,CLE,SF,,,N
22848,QB,Austin,Davis,Austin Davis,7.2,2,6000,SF@CLE,CLE,SF,,,Y
7778,QB,Matt,Cassel,Matt Cassel,9.6,7,6200,DAL@GB,DAL,GNB,,,Y
21994,QB,Brock,Osweiler,Brock Osweiler,13.2,4,6900,OAK@DEN,DEN,OAK,,,Y
6654,QB,Matthew,Stafford,Matthew Stafford,18.2,12,7500,DET@STL,DET,STL,,,Y
8071,QB,Dan,Orlovsky,Dan Orlovsky,5.5,2,5000,DET@STL,DET,STL,,,N
6894,QB,Aaron,Rodgers,Aaron Rodgers,20.8,12,8900,DAL@GB,GNB,DAL,,,Y
