name,projection,position,salary,team
Devonta Freeman,28.71030039,RB,8700,ATL
Tom Brady,25.46972854,QB,9300,NWE
Cam Newton,25.45581094,QB,9200,CAR
Antonio Brown,24.17393646,WR,9300,PIT
Jameis Winston,23.0418321,QB,7800,TAM
Matt Cassel,22.56026997,QB,6200,DAL
Doug Martin,21.91430855,RB,8000,TAM
Todd Gurley,21.43769511,RB,7900,STL
Tyrod Taylor,21.03810086,QB,7500,BUF
Ben Roethlisberger,20.95711385,QB,8300,PIT
Kirk Cousins,20.71319502,QB,7000,WAS
Russell Wilson,20.69392219,QB,8500,SEA
Austin Seferian-Jenkins,20.64097739,TE,5500,TAM
Brandon Marshall,20.50167186,WR,8200,NYJ
Marcus Mariota,20.35433278,QB,7500,TEN
Ryan Tannehill,20.31567389,QB,6900,MIA
Ryan Fitzpatrick,20.30219176,QB,7800,NYJ
Drew Brees,19.81169685,QB,7900,NOR
Matt Ryan,19.01520014,QB,7100,ATL
DeMarco Murray,18.73910913,RB,6700,PHI
Andy Dalton,18.72971626,QB,8200,CIN
Danny Woodhead,18.20665342,RB,5400,SDG
Sammy Watkins,18.0056415,WR,7200,BUF
Brian Hoyer,17.96506164,QB,7000,HOU
Philip Rivers,17.86366255,QB,7600,SDG
Brandon McManus,17.50341894,K,5000,DEN
Julio Jones,17.48396849,WR,8800,ATL
Eric Decker,17.41810071,WR,7300,NYJ
Blaine Gabbert,17.38836118,QB,6400,SFO
Blake Bortles,17.31179037,QB,7700,JAX
Alex Smith,17.24002073,QB,6800,KAN
Jay Cutler,17.05565033,QB,6700,CHI
Brandin Cooks,16.7704973,WR,7100,NOR
Mark Ingram,16.09134454,RB,7300,NOR
Michael Crabtree,15.98014341,WR,6700,OAK
Eli Manning,15.60210706,QB,7500,NYG
Travis Kelce,15.47480034,TE,6000,KAN
DeAndre Hopkins,14.58068958,WR,8700,HOU
Jeremy Langford,14.37853853,RB,5400,CHI
Jaelen Strong,14.16471917,WR,4600,HOU
Mike Evans,14.06455751,WR,8000,TAM
Jarvis Landry,13.90735045,WR,7100,MIA
T.Y. Hilton,13.8466413,WR,7000,IND
Derek Carr,13.75996606,QB,7200,OAK
Alshon Jeffery,13.7278008,WR,7500,CHI
Seth Roberts,13.72031679,WR,5400,OAK
Christopher Ivory,13.59149226,RB,7100,NYJ
Matt Forte,13.53953011,RB,7800,CHI
LeSean McCoy,13.43638925,RB,7900,BUF
Amari Cooper,13.41130202,WR,6900,OAK
Allen Robinson,13.38778358,WR,8500,JAX
Delanie Walker,13.32305662,TE,6100,TEN
Giovani Bernard,13.30355361,RB,5700,CIN
Doug Baldwin,13.21845454,WR,6800,SEA
Spencer Ware,12.95405333,RB,5800,KAN
Martavis Bryant,12.88497332,WR,7400,PIT
Stephen Gostkowski,12.77069412,K,5000,NWE
Emmanuel Sanders,12.7288658,WR,7100,DEN
Steven Hauschka,12.61158602,K,5100,SEA
T.J. Yeldon,12.33972236,RB,6400,JAX
A.J. Green,12.21030637,WR,8500,CIN
Tavon Austin,12.19131762,WR,5800,STL
Lamar Miller,12.09027316,RB,6600,MIA
Travis Benjamin,12.05078337,WR,5700,CLE
Brock Osweiler,12.00745467,QB,6900,DEN
Latavius Murray,11.76557128,RB,6200,OAK
Jordan Matthews,11.75497011,WR,6100,PHI
Demaryius Thomas,11.57533522,WR,7700,DEN
Julius Thomas,11.25295301,TE,5900,JAX
Dez Bryant,11.05335365,WR,7400,DAL
Shane Vereen,11.03637631,RB,5100,NYG
Nick Foles,11.03541112,QB,5900,STL
Sebastian Janikowski,10.92720521,K,4500,OAK
Josh Brown,10.92400985,K,4800,NYG
Rashad Jennings,10.89555597,RB,4800,NYG
Anquan Boldin,10.80270952,WR,5900,SFO
David Johnson,10.74703238,TE,4500,SDG
David Johnson,3.2737897,TE,4500,SDG
Jordan Reed,10.73026035,TE,5900,WAS
