location,team,city,state,stadium_name,capacity,surface_type,surface_description,roof_type,season
ARI,Arizona Cardinals,Glendale,Arizona,University of Phoenix Stadium,63400,Hybrid,Tifway 419 Bermuda Grass,Retractable,2015
ATL,Atlanta Falcons,Atlanta,Georgia,Georgia Dome,71250,Turf,FieldTurf Classic HD,Domed,2015
BAL,Baltimore Ravens,Baltimore,Maryland,M&T Bank Stadium,71008,Turf,Shaw Sports Momentum 51,Open,2015
BUF,Buffalo Bills,Orchard Park,New York,Ralph Wilson Stadium,73079,Turf,A-Turf Titan,Open,2015
CAR,Carolina Panthers,Charlotte,North Carolina,Bank of America Stadium,73778,Hybrid,Voyager Bermuda Grass,Open,2015
CHI,Chicago Bears,Chicago,Illinois,Soldier Field,61500,Grass,Kentucky Bluegrass,Open,2015
CIN,Cincinnati Bengals,Cincinnati,Ohio,Paul Brown Stadium,65515,Turf,UBU Speed Series S5-M Synthetic Turf,Open,2015
CLE,Cleveland Browns,Cleveland,Ohio,FirstEnergy Stadium,67431,Grass,Kentucky Bluegrass,Open,2015
DAL,Dallas Cowboys,Arlington,Texas,AT&T Stadium,80000,Turf,Matrix RealGrass artificial turf[6],Retractable,2015
DEN,Denver Broncos,Denver,Colorado,Sports Authority Field at Mile High,76125,Grass,Kentucky Bluegrass,Open,2015
DET,Detroit Lions,Detroit,Michigan,Ford Field,65000,Turf,FieldTurf Classic HD,Domed,2015
GNB,Green Bay Packers,Green Bay,Wisconsin,Lambeau Field,81435,Hybrid,Desso GrassMaster,Open,2015
HOU,Houston Texans,Houston,Texas,NRG Stadium,71500,Turf,AstroTurf GameDay Grass 3D,Retractable,2015
IND,Indianapolis Colts,Indianapolis,Indiana,Lucas Oil Stadium,67000,Turf,FieldTurf Classic HD,Retractable,2015
JAX,Jacksonville Jaguars,Jacksonville,Florida,EverBank Field,67246,Hybrid,Tifway 419 Bermuda Grass,Open,2015
KAN,Kansas City Chiefs,Kansas City,Missouri,Arrowhead Stadium,76416,Hybrid,Latitude 36 Bermuda Grass,Open,2015
MIA,Miami Dolphins,Miami Gardens,Florida,Sun Life Stadium,65000,Turf,Prescription Athletic Turf (Tifway 419 Bermuda Grass),Open,2015
MIN,Minnesota Vikings,Minneapolis,Minnesota,TCF Bank Stadium,52525,Turf,FieldTurf Revolution,Open,2015
NWE,New England Patriots,Foxborough,Massachusetts,Gillette Stadium,68756,Turf,FieldTurf Revolution,Open,2015
NOR,New Orleans Saints,New Orleans,Louisiana,Mercedes-Benz Superdome,73000,Turf,UBU Speed Series S5-M Synthetic Turf,Domed,2015
NYG,New York Giants,East Rutherford,New Jersey,MetLife Stadium,82500,Turf,UBU Speed Series S5-M Synthetic Turf,Open,2015
NYJ,New York Jets,East Rutherford,New Jersey,MetLife Stadium,82500,Turf,UBU Speed Series S5-M Synthetic Turf,Open,2015
OAK,Oakland Raiders,Oakland,California,O.co Coliseum,56057,Hybrid,Tifway II Bermuda Grass,Open,2015
PHI,Philadelphia Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,69596,Hybrid,Desso GrassMaster,Open,2015
PIT,Pittsburgh Steelers,Pittsburgh,Pennsylvania,Heinz Field,68400,Grass,Kentucky Bluegrass,Open,2015
SDG,San Diego Chargers,San Diego,California,Qualcomm Stadium,70561,Hybrid,Bandera Bermuda Grass,Open,2015
SFO,San Francisco 49ers,Santa Clara,California,Levi's Stadium,68500,Hybrid,Tifway II Bermuda Grass / Perennial Ryegrass mixture,Open,2015
SEA,Seattle Seahawks,Seattle,Washington,CenturyLink Field,67000,Turf,FieldTurf Revolution,Open,2015
STL,St. Louis Rams,St. Louis,Missouri,Edward Jones Dome,66000,Turf,AstroTurf GameDay Grass 3D,Domed,2015
TAM,Tampa Bay Buccaneers,Tampa,Florida,Raymond James Stadium,65890,Hybrid,Tifway 419 Bermuda Grass,Open,2015
TEN,Tennessee Titans,Nashville,Tennessee,Nissan Stadium,69149,Hybrid,TifSport Bermuda Grass,Open,2015
WAS,Washington Redskins,Landover,Maryland,FedEx Field,73000,Hybrid,Latitude 36 Bermuda Grass,Open,2015
