Total_RK,TEAM,Total_YDS,Total_YDS/G,Total_PASS,Total_P YDS/G,Total_RUSH,Total_R YDS/G,Total_PTS,Total_PTS/G,SEASON,Passing_RK,Passing_ATT,Passing_COMP,Passing_PCT,Passing_YDS,Passing_YDS/A,Passing_LONG,Passing_TD,Passing_INT,Passing_SACK,Passing_YDSL,Passing_RATE,Passing_YDS/G,Rushing_RK,Rushing_ATT,Rushing_YDS,Rushing_YDS/A,Rushing_LONG,Rushing_TD,Rushing_YDS/G,Rushing_FUM,Rushing_FUML,Receiving_RK,Receiving_REC,Receiving_YDS,Receiving_AVG,Receiving_LONG,Receiving_TD,Receiving_YDS/G,Receiving_FUM,Receiving_FUML,Returning_RK,Returning_ATT,Returning_YDS,Returning_AVG,Returning_LNG,Returning_TD,Returning_ATT,Returning_YDS,Returning_AVG,Returning_LNG,Returning_TD,Returning_FC
1,NWE,6846,427.9,4662,291.4,2184,136.5,557,34.8,2012,4,641,402,62.7,4662,7.6,83,34,9,27,182,97.7,291,7,523,2184,4.2,47,25,136.5,6,3,4,402,4844,12.1,83,34,302.8,5,3,25,38,807,21.2,104,1,42,506,12,68,1,8
2,NOR,6574,410.9,4997,312.3,1577,98.6,461,28.8,2012,1,671,423,63,4997,7.7,80,43,19,26,190,96.4,312,25,370,1577,4.3,56,10,98.6,0,0,1,423,5187,12.3,80,43,324.2,7,3,6,51,1266,24.8,75,0,25,190,7.6,37,0,20
3,DET,6540,408.8,4927,307.9,1613,100.8,372,23.3,2012,2,740,445,60.1,4927,6.9,57,22,17,29,212,81.5,308,23,391,1613,4.1,67,17,100.8,7,5,2,445,5139,11.5,57,22,321.2,7,5,29,34,681,20,40,0,35,302,8.6,48,0,26
4,DEN,6366,397.9,4534,283.4,1832,114.5,481,30.1,2012,5,588,402,68.4,4534,7.9,71,37,11,21,137,105.3,283,16,481,1832,3.8,31,12,114.5,8,6,6,402,4671,11.6,71,37,291.9,4,4,30,28,646,23.1,105,1,48,445,9.3,76,1,20
5,WAS,6131,383.2,3422,213.9,2709,169.3,436,27.3,2012,20,442,291,65.8,3422,8.3,88,24,8,33,244,102.1,214,1,519,2709,5.2,76,22,169.3,13,5,21,291,3666,12.6,88,24,229.1,4,1,23,38,892,23.5,55,0,36,335,9.3,64,0,7
6,DAL,5994,374.6,4729,295.6,1265,79.1,376,23.5,2012,3,658,434,66,4729,7.6,85,29,19,36,263,91.3,296,31,355,1265,3.6,48,8,79.1,6,3,3,434,4992,11.5,85,29,312,4,2,28,36,741,20.6,44,0,34,420,12.4,78,1,13
7,HOU,5953,372.1,3830,239.4,2123,132.7,416,26,2012,11,554,354,63.9,3830,7.3,60,22,13,28,216,89.2,239,8,508,2123,4.2,81,19,132.7,5,3,12,354,4046,11.4,60,22,252.9,0,0,18,44,953,21.7,54,0,38,414,10.9,71,0,16
8,ATL,5906,369.1,4509,281.8,1397,87.3,419,26.2,2012,6,615,422,68.6,4509,7.7,80,32,14,28,210,99.1,282,29,378,1397,3.7,43,12,87.3,4,2,5,422,4719,11.2,80,32,294.9,3,1,31,27,640,23.7,77,0,26,205,7.9,28,0,19
9,TAM,5820,363.8,3983,248.9,1837,114.8,389,24.3,2012,10,566,311,54.9,3983,7.3,95,27,17,26,161,81.8,249,15,416,1837,4.4,70,13,114.8,3,2,10,311,4144,13.3,95,27,259,0,0,32,31,630,20.3,55,0,36,324,9,39,0,19
10,IND,5799,362.4,4128,258,1671,104.4,357,22.3,2012,7,628,339,54,4128,7,70,23,18,41,246,76.4,258,22,440,1671,3.8,26,11,104.4,5,1,7,339,4374,12.9,70,23,273.4,4,1,16,43,957,22.3,101,1,28,312,11.1,75,1,20
