"","Season","Week","Name","Position","Team","Home.Away","Opponent","FanDuel.pts","FanDuel.sal"
"1",2015,12,"Russell Wilson","QB","SEA","HOME","PIT",35.2,7600
"2",2015,12,"Matthew Stafford","QB","DET","HOME","PHI",34.78,7200
"3",2015,12,"Ryan Fitzpatrick","QB","NYJ","HOME","MIA",29.18,7200
"4",2015,12,"Philip Rivers","QB","SDG","AWAY","JAC",28.9,8000
"5",2015,12,"Tyrod Taylor","QB","BUF","AWAY","KAN",26.24,7300
"6",2015,12,"Ben Roethlisberger","QB","PIT","AWAY","SEA",24.04,7800
"7",2015,12,"Derek Carr","QB","OAK","AWAY","TEN",23.7,7400
"8",2015,12,"Blake Bortles","QB","JAC","HOME","SDG",23.46,7300
"9",2015,12,"Tom Brady","QB","NWE","AWAY","DEN",23.2,9000
"10",2015,12,"Ryan Tannehill","QB","MIA","AWAY","NYJ",23.04,6900
"11",2015,12,"Kirk Cousins","QB","WAS","HOME","NYG",22.18,6700
"12",2015,12,"Alex Smith","QB","KAN","HOME","BUF",21.7,6600
"13",2015,12,"Marcus Mariota","QB","TEN","HOME","OAK",21.42,7000
"14",2015,12,"Andy Dalton","QB","CIN","HOME","STL",20.72,7900
"15",2015,12,"Matt Hasselbeck","QB","IND","HOME","TAM",20.3,6400
"16",2015,12,"Eli Manning","QB","NYG","AWAY","WAS",17.84,7700
"17",2015,12,"Cam Newton","QB","CAR","AWAY","DAL",17.82,8900
"18",2015,12,"Carson Palmer","QB","ARI","AWAY","SFO",17.44,8100
"19",2015,12,"Blaine Gabbert","QB","SFO","HOME","ARI",16.82,6000
"20",2015,12,"Matt Schaub","QB","BAL","AWAY","CLE",16.28,6200
"21",2015,12,"Jameis Winston","QB","TAM","AWAY","IND",15.5,7300
"22",2015,12,"Brian Hoyer","QB","HOU","HOME","NOR",14.9,7100
"23",2015,12,"Aaron Rodgers","QB","GNB","HOME","CHI",14.38,9200
"24",2015,12,"Mark Sanchez","QB","PHI","AWAY","DET",14.36,6700
"25",2015,12,"Brock Osweiler","QB","DEN","HOME","NWE",14.2,6700
"26",2015,12,"Josh McCown","QB","CLE","HOME","BAL",13.68,6300
"27",2015,12,"Jay Cutler","QB","CHI","AWAY","GNB",12.9,6900
"28",2015,12,"Matt Ryan","QB","ATL","HOME","MIN",11.1,7900
"29",2015,12,"Matt Cassel","QB","DAL","HOME","CAR",10.62,6000
"30",2015,12,"Drew Brees","QB","NOR","AWAY","HOU",8.12,8200
"31",2015,12,"Austin Davis","QB","CLE","HOME","BAL",7.78,5400
"32",2015,12,"Nick Foles","QB","STL","AWAY","CIN",6.32,6300
"33",2015,12,"Teddy Bridgewater","QB","MIN","AWAY","ATL",5.66,6500
"34",2015,12,"Tony Romo","QB","DAL","HOME","CAR",1.24,7900
"35",2015,12,"A.J. McCarron","QB","CIN","HOME","STL",0.12,5100
"36",2015,12,"Johnny Manziel","QB","CLE","HOME","BAL",0,6700
"37",2015,12,"Jimmy Clausen","QB","BAL","AWAY","CLE",0,5000
"38",2015,12,"Joe Webb","QB","CAR","AWAY","DAL",0,5000
"39",2015,12,"Drew Stanton","QB","ARI","AWAY","SFO",0,5200
"40",2015,12,"Matt McGloin","QB","OAK","AWAY","TEN",0,5500
"41",2015,12,"Landry Jones","QB","PIT","AWAY","SEA",-0.64,5000
"42",2015,12,"Adrian Peterson","RB","MIN","AWAY","ATL",31.7,9000
"43",2015,12,"C.J. Anderson","RB","DEN","HOME","NWE",29.3,5800
"44",2015,12,"DeAngelo Williams","RB","PIT","AWAY","SEA",21.2,7100
"45",2015,12,"Eddie Lacy","RB","GNB","HOME","CHI",19.9,6500
"46",2015,12,"Spencer Ware","RB","KAN","HOME","BUF",19,6100
"47",2015,12,"Brandon Bolden","RB","NWE","AWAY","DEN",17.5,5900
"48",2015,12,"Chris Ivory","RB","NYJ","HOME","MIA",17.2,7000
"49",2015,12,"Javorius Allen","RB","BAL","AWAY","CLE",16.4,6300
"50",2015,12,"LeSean McCoy","RB","BUF","AWAY","KAN",15.6,7600
