lookupVariable,lookupValue,newVariable,newValue,source
Name,Arizona Defense,Name,ARI Defense,brett
Name,Atlanta Defense,Name,ATL Defense,brett
Name,Baltimore Defense,Name,BAL Defense,brett
Name,Buffalo Defense,Name,BUF Defense,brett
Name,Carolina Defense,Name,CAR Defense,brett
Name,Chicago Defense,Name,CHI Defense,brett
Name,Cincinnati Defense,Name,CIN Defense,brett
Name,Cleveland Defense,Name,CLE Defense,brett
Name,Dallas Defense,Name,DAL Defense,brett
Name,Denver Defense,Name,DEN Defense,brett
Name,Detroit Defense,Name,DET Defense,brett
Name,Green Bay Defense,Name,GNB Defense,brett
Name,Houston Defense,Name,HOU Defense,brett
Name,Indianapolis Defense,Name,IND Defense,brett
Name,Jacksonville Defense,Name,JAX Defense,brett
Name,Kansas City Defense,Name,KAN Defense,brett
Name,Miami Defense,Name,MIA Defense,brett
Name,Minnesota Defense,Name,MIN Defense,brett
Name,New England Defense,Name,NWE Defense,brett
Name,New Orleans Defense,Name,NOR Defense,brett
Name,New York G Defense,Name,NYG Defense,brett
Name,New York J Defense,Name,NYJ Defense,brett
Name,Oakland Defense,Name,OAK Defense,brett
Name,Philadelphia Defense,Name,PHI Defense,brett
Name,Pittsburgh Defense,Name,PIT Defense,brett
Name,San Diego Defense,Name,SDG Defense,brett
Name,San Francisco Defense,Name,SFO Defense,brett
Name,Seattle Defense,Name,SEA Defense,brett
Name,St. Louis Defense,Name,STL Defense,brett
Name,Tampa Bay Defense,Name,TAM Defense,brett
Name,Tennessee Defense,Name,TEN Defense,brett
Name,Washington Defense,Name,WAS Defense,brett
Name,Odell Beckham,Name,Odell Beckham Jr.,brett.qa
Name,Odell Beckham Jr.,Name,Odell Beckham Jr.,brett.qa
Name,Taiwan Jones,Name,Taiwan Jones,brett.qa
Name,Ted Ginn,Name,Ted Ginn Jr.,brett.qa
Name,Ted Ginn Jr.,Name,Ted Ginn Jr.,brett.qa
Name,EJ Manuel,Name,E.J. Manuel,brett.qa
Name,E.J. Manuel,Name,E.J. Manuel,brett.qa
Name,JJ Nelson,Name,J.J. Nelson,brett.qa
Name,J.J. Nelson,Name,J.J. Nelson,brett.qa
Name,MarQueis Gray,Name,Marqueis Gray,brett.qa
Name,Marqueis Gray,Name,Marqueis Gray,brett.qa
Position,QB,Position,QB,brett
Position,RB,Position,RB,brett
Position,WR,Position,WR,brett
Position,TE,Position,TE,brett
Position,PK,Position,K,brett
Position,Def,Position,DEF,brett
Position,KR,Position,WR,brett.qa
Position,FB,Position,RB,brett.qa
Position,CB,Position,RB,brett.qa
Home.Away,h,Home.Away,HOME,brett
Home.Away,a,Home.Away,AWAY,brett
