"","name","position","team","pts.per.sal.avg","pts.per.sal.sd","tier"
"1","Spencer Ware","RB","KAN",0.00396163236832926,0.00119766673506867,"primary"
"2","Austin Seferian-Jenkins","TE","TAM",0.00314609929078014,0.00322360453153697,"primary"
"3","Matt Hasselbeck","QB","IND",0.0029133504333751,0.000359601655732157,"primary"
"4","Blaine Gabbert","QB","SFO",0.00289024691358025,0.000159277489625551,"primary"
"5","Cam Newton","QB","CAR",0.00279913345164507,0.000924259170162919,"primary"
"6","Devonta Freeman","RB","ATL",0.00278542338122101,0.00183211959174274,"primary"
"7","Tyrod Taylor","QB","BUF",0.00277842867315422,0.00107037228673332,"primary"
"8","Blake Bortles","QB","JAC",0.00275840361152029,0.000843351500513455,"primary"
"9","Derek Carr","QB","OAK",0.00275832702342887,0.00132276327843394,"primary"
"10","Andy Dalton","QB","CIN",0.00272922478735614,0.000910829762376503,"primary"
"11","Jameis Winston","QB","TAM",0.0027041191151964,0.000659349845482711,"primary"
"12","Tom Brady","QB","NWE",0.00269033394001211,0.000619396834909106,"primary"
"13","Carson Palmer","QB","ARI",0.00267680422305515,0.000555721040730539,"primary"
"14","Alex Smith","QB","KAN",0.00263617117802559,0.000858382437027201,"primary"
"15","Josh McCown","QB","CLE",0.00261321096322921,0.00151977601204727,"primary"
"16","Kirk Cousins","QB","WAS",0.0026118224510176,0.00124721019080325,"primary"
"17","Philip Rivers","QB","SDG",0.00260088485938512,0.000993466935589393,"primary"
"18","Martavis Bryant","WR","PIT",0.00258937303426577,0.00146793773480458,"primary"
"19","DEN Defense","DEF","DEN",0.00255616188204089,0.00155906040358917,"primary"
"20","Ryan Fitzpatrick","QB","NYJ",0.00253369277873261,0.000946818985986407,"primary"
"21","Matthew Stafford","QB","DET",0.00253004036855025,0.00133375410919183,"primary"
"22","Marcus Mariota","QB","TEN",0.00250008217040759,0.00119737805643791,"primary"
"23","Brian Hoyer","QB","HOU",0.00246949404978659,0.000935047768803781,"primary"
"24","CAR Defense","DEF","CAR",0.00245092609524142,0.00139159930462235,"primary"
"25","Eli Manning","QB","NYG",0.00242922876119837,0.00126472413632297,"primary"
"26","Gary Barnidge","TE","CLE",0.00240994237854251,0.00132072207741675,"primary"
"27","Dion Lewis","RB","NWE",0.00239986714985788,0.00116883548373246,"primary"
"28","Drew Brees","QB","NOR",0.00239760833688108,0.00144038218602009,"primary"
"29","Russell Wilson","QB","SEA",0.00238467603580861,0.000902875057877596,"primary"
"30","Graham Gano","K","CAR",0.00238373273790216,0.000927035807261905,"primary"
"31","Brock Osweiler","QB","DEN",0.0023620232172471,0.000620021137198036,"primary"
"32","Larry Fitzgerald","WR","ARI",0.00235727101467345,0.00142363842692047,"primary"
"33","Tyler Eifert","TE","CIN",0.00234706729348072,0.00172150566027484,"primary"
"34","Jordan Reed","TE","WAS",0.00232282503390133,0.00116354397553586,"primary"
"35","Travis Benjamin","WR","CLE",0.0023204089088836,0.00162708555079414,"primary"
"36","Jay Cutler","QB","CHI",0.00231438258415185,0.000644874879197246,"primary"
"37","Ryan Tannehill","QB","MIA",0.00231296516320051,0.000747838155667241,"primary"
"38","Andrew Luck","QB","IND",0.00230598445409873,0.00064933773524852,"primary"
"39","Ben Roethlisberger","QB","PIT",0.0023043105044965,0.00106762971005785,"primary"
"40","Cairo Santos","K","KAN",0.00229020274580272,0.00162961665313692,"primary"
"41","Allen Robinson","WR","JAC",0.00228641729668982,0.00129334470056583,"primary"
"42","Aaron Rodgers","QB","GNB",0.00227302537000902,0.000912382651724575,"primary"
"43","Chris Boswell","K","PIT",0.0022536231884058,0.000992895249486165,"primary"
"44","Joe Flacco","QB","BAL",0.00224857547696392,0.000942512323181522,"primary"
"45","Steve Smith","WR","BAL",0.00224412930905491,0.00174223361655759,"primary"
